stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.57,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.28,12.73,0,0,7.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.78,31.11,2.85,0,0,2.25,0,0.92,0,0,0,0,0,1.05,4.88,0,0,4.12,53.58,0.97,0,0,2.72,0,0,1.12,0,0,3.12,21.27,0,0,19.33,0,0.85
 24-34,0,3.39,3.88,10.51,0,0.61,15.24,0,1.7,1.21,0,0.6,0,0,2.07,31.71,0,0,22.31,280.41,3,1.06,0.65,0,0,1.32,0,2.79,0,4.03,82.95,0,0,78.41,0,20.7
 36-46,0,3.83,1.02,15.55,0,0.74,32.17,0,0,1.86,0,0.65,0,0,22.99,20.11,0,0,8.18,314.74,0,0,0,0,0,0,0,0,0.74,0,69.55,0,0,57.03,0,37.26
 48-58,0,2.16,3.17,38.69,0,3.89,90.19,0,0.94,0.42,0,10.29,0,0,48.99,37.01,0,0,7.69,456.04,0,0,0,0,0,3.29,0,0,0,0,79.75,0,0.37,67.28,0,71.48
 60-70,0,6.02,5,330.54,0.96,5.53,142.96,0,10.98,3.18,0,1.33,0,0,32.71,36.91,0,1.95,6.86,548.7,2.42,0,0,0,1.13,0.78,0,0,0,0,58.96,0,0,55.76,0.73,66.39
 72-82,0,6.98,4.55,830.97,0,6.38,172.43,2.23,0.58,4.52,0,3.04,0,0.79,12.18,81.89,1.06,2.02,19.02,916.82,0,0,3.62,0,2.41,3.05,0,0,0,0,46.57,0,0,138.78,1.28,133.91
 84-94,0,11.18,1.06,592.59,1.67,1.44,132.94,0,0.98,11.98,0.86,8.77,0,1.48,57.02,38.06,0,11.4,11.51,598.44,0.62,0,5.82,0,0.77,2,0,0.62,0,0,34.4,0,2.1,90.69,6.96,81.23
 96-106,0,17.36,15.23,689.23,0.58,7.5,74.38,1.15,6.24,9.82,0,9.92,5.04,8.31,12.96,40.81,0,0.93,6.84,537.02,0,0,0.81,0,5.46,0.91,0,3.26,5.77,0,12.29,1.97,2.72,96.11,4.16,75.39
108-118,0.44,8.17,12.14,687.79,3.61,0.75,139.9,0.58,0.69,8.97,0,8.37,0,2.79,56.36,34.57,0,6.44,14.64,792.22,0,1.39,5.2,0,0,6.99,0,0.56,0,0,24.36,3.22,14.46,88.14,1.37,44.64
120,1.28,68.25,13.55,475.55,0,0,171.04,0,0,3.44,0,1.91,0,5.44,16.77,65.6,0,0,0,1697.68,1.8,0,6.54,0,0,0,0,0,0,0,69.61,0,0,95.75,4.51,0
