stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle
  3-4,0,40.47,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0
  5-6,12.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.53,1.91,0,0,0,0
 24-34,0,0,0.71,1.32,0,0,0,0,0,0,0,0,16.85,0,0,3.12,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,10.43,11.93,0,0,1.74,0
 48-58,0,0,0,0,0,0,0,0,0,4.54,0,15.51,5.78,0,0,0,0
 60-70,0,0,0,0,3.29,0,0,0,0,9.49,0,16.59,5.57,1.58,0,0,0
 72-82,0,0,0,0,2.8,0,0,1.62,0,7.19,3.19,34.03,26.38,0,0,1.29,0.85
 84-94,0,0,0,0,9.63,0,0,0,0.82,4.31,0,6.9,4.29,0,0,0,0
 96-106,0,0,0,0,2.51,0,1,2.87,0,5.31,0.57,1.58,27.33,0,0,0,0
108-118,0,0,0,0,2.71,0,0,1.54,0,13.28,0,4.74,27.61,0,0,1.9,0
120,0,0,0,0,0,1.11,0,1.45,0,15.32,0,23.29,25.84,0,0,0,0
