stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,21.09,318.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0
  5-6,8.89,183.95,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,4.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,24.28,0,0,0,12.97,0,0,0,0,0
 14-21,0,0,0,0,5.54,1.66,0,0,0,0,0,0,0,0,0,0,20.38,0.93,0,0,0,0,2.2,0,2.99,0
 24-34,0,0,0.71,0,1.62,2.92,0,0,0,0,0,0,0,2.4,0,0,23.11,0.68,0,1.3,0,0.7,0.86,1.47,1.37,1.5
 36-46,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0.63,0,1.31,19.17,0,0,0,0,0,1.17,0,6.37,0
 48-58,0,0,0,0,0,8.65,0,2.12,0,0,0,0,2.15,1.44,0,0,10.55,0,1.01,0,0,2.69,0.65,0,3.33,0.5
 60-70,0,0,0,0,0,25.6,0,1.69,0,0,0,0,0,4.03,0,0,26.92,0,1.23,0,0,0,0,1.95,3.03,0
 72-82,0,0,0,0,0,7.41,0,1.42,0.53,0,0,0.72,0,6.1,0,0,9.9,0,1.22,0,0,0,0,3.73,0,0
 84-94,0,0,0,0,2.12,1.64,0,0,0,0,0.86,0,0,0,0,0,5.47,0,1.11,1.25,0,0.67,0,0,0,0
 96-106,0,0,0,0,0,1.71,0,0,0.9,0,0,0,0.86,8.73,0,0,2.45,0,4.06,2.92,0,0.92,3.92,0,0,0
108-118,3.95,0,0,0.74,0,0.95,1.81,0.79,0.43,0,0,0,0.43,1.78,0.77,0.43,14.65,0,9.96,0.87,0,0.44,1.06,0.41,0,0
120,0,0,0,0,0,1.93,0,18.29,0,0,0,0,0,0,0,0,8.71,0,1.11,1.25,0,0,1.53,0,0,0
