stage,axial,blastomeres,epidermis,erythrocytes,fin_epithelia,fin_mesenchyme,mesenchyme,mucous,neural,periderm,spinal_cord,vasculature
  3-4,26.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.1,0,0,0
 14-21,0,0,14.88,3.18,0,0,0,0,6.41,3.28,0,0
 24-34,0,0,14.33,0,1.45,0,0,8.32,0,0,0,0
 36-46,0,0,13.27,0,1.53,0,0,0,0,0,0,0
 48-58,0,0,7.39,0,0.92,0,0.44,0.52,0.51,0,0,0
 60-70,0,0,9.37,0,0,0.84,3.26,0,0,0,0,0.66
 72-82,0,0,1.64,0,5.77,0,0,0.58,4.12,0,0,0
 84-94,0,0,12.22,0,0,0,0,0,0,0,2.15,0
 96-106,0,0,7,0,2.25,0,0,0,1.81,1.27,0,0
108-118,0,0,11.08,0,6.7,0,0,0,0.51,0,0,0
120,0,0,23.9,0,15.19,0,0,0,0,2.19,0,0
