stage,mesenchyme,muscle,neural,periderm,slow_muscle,spinal_cord
 36-46,0,0,0.81,0,0,0.82
 60-70,0.64,0.67,0,0,0,0
 72-82,2.28,0,0.5,0,0,0
 84-94,0,0,0,0.58,0,0
 96-106,2.76,0,1.24,4.11,0.6,0
108-118,2.83,0.87,0,0,0,0
