stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,255.01,4134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.01,0,0,0,0,0,0,0
  5-6,159.74,1263.72,0,0,0,0,0,0,0,0,28.38,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,1976.81,0,0,0,0,0,0,0
  7-9,44.6,26.69,0,24.12,0,0,23.47,0,0,0,364.58,0,0,0,0,0,0,0,0,0,303.04,17.86,0,0,72.44,0,304.03,19.45,0,0,0,0,0,0
 10-12,0,0,0,106.54,0,0,9.63,0,0,0,8.21,0,0,0,0,0,0,0,0,0,365.46,8.71,0,0,0,0,42.07,0,3.49,0,0,0,0,0
 14-21,0,0,1.07,10.55,23.61,0,1.58,0,0,3.09,0,0,3.68,0,0,0,2.34,0,0,0,6.43,0,0,4.32,0,0,76.63,0,29.72,0,1.04,0,0,0
 24-34,0,0,0,4.04,18.68,0,11.65,2.5,0,3.57,6.82,0,27.67,0.85,4.9,0,1.92,50.02,0,0,15.89,0,5.45,0.74,0,0,338.58,0,10.41,1.21,0.72,0,0,0
 36-46,0,0,0,0,4.39,0,2.79,4.42,0,2.66,0,0,56.62,1.74,11.48,0,0,61.93,0,0,13.15,0,5.97,0.58,0,0,554.77,0.81,13.73,0,1.93,0,0,4.52
 48-58,0,0,0,0.42,13.45,0,2.48,4.07,0,0.87,0,0,33.45,0.65,25.43,1.18,2.81,78.28,0,0.43,21.11,0,2.94,0.45,0,0,317.27,0,7.82,0,1.7,0,0,0
 60-70,0,0,0,0,23.23,0,2.58,5.34,1.3,7.88,0,0,27.82,7.2,21.49,0,7.01,77,0,0,22.98,0,3.04,10.47,0,0,371.58,0,0.68,0,2.6,2.13,0,3.35
 72-82,0,0,0,3.08,19.03,2.05,4.36,2.87,0,6.61,0,0,10.6,4.32,8.8,0,2.35,87.94,0,0,15.03,9.68,1.13,2.32,0,0,135.02,0,0,0,0,0,0.85,0
 84-94,0,0,0,0.57,17.04,0,1.61,9.38,0,16.6,0,0.67,18.12,5.68,5.81,0,2.2,106.15,0,0,17.38,0,9.95,7.61,0,4.73,342.11,0,0.73,0,0,0,0,0
 96-106,0,0,0.61,2.16,39.55,6.84,5.51,1.26,0.68,18.55,0,0,18.42,19.96,12.53,0,0,84.13,0,0,13.38,0,12.49,2.35,0,0,262.57,0,0,0,0,3.49,1.94,0
108-118,0,0,0,2.87,53.2,0,2.2,6.08,0,12,0,0,18.63,24.37,29.2,0,1.18,116.44,0,0,13.46,0,12.17,0.71,0,0,232.46,0,1.07,0,0,5.66,0,0
120,0,0,4.41,0,80.57,3.03,0,3.91,0,4.45,0,0,12.53,3.66,26.29,0,12.94,48.24,15.95,0,25.89,0,5.98,2.55,0,0,214.77,0,1.04,0,4.02,0,0,0
