stage,blastomeres,epidermis,gut,hatching_gland,immune,liver,mesenchyme,neural,otic,periderm,spinal_cord,taste
  3-4,29.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.1,0,0,0,0
 14-21,0,0.82,0,0,0,4.85,0,0.86,0.97,0,1.08,0
 24-34,0,1.24,0,0,0,5.31,0,1.47,0,0,0,0
 36-46,0,0,0,1.6,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.43,0,0,0.52,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.72,0,0,0,0
 72-82,0,0,0.67,0.59,0,0,1.29,0,0,0,0,0.5
 84-94,0,0,0,0,4.35,0,0,0,0,0,0,14.89
 96-106,0,0,0,0,0,0,1.1,1.88,0,0,0,13.57
108-118,0,0,0,0,0.56,0,2.86,0,0,0.68,0,25.4
120,0,0,0,0,0,0,0,0,0,0,0,11.8
