stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  7-9,8.06,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0.91,2.57,5.19,0,0,0.68,0,1.03,0,0,0
 36-46,0,0,0,0,0,2.06,0,0,0,0,0,18.64,11.13,0,0,0.71,0,0,1.35,0,0
 48-58,0,1.7,0,14.52,0,0,0,0,0.53,1.1,0,22,15.65,0,0,0,0,0,1.28,0,0
 60-70,0,0,0,73.65,0,3,0,0,0,0,0,76.26,19.66,0,0,0,0,0,0,0,0
 72-82,0,0,0,173.32,0,0.93,0,0,0,1.78,0,86.37,39.42,0,0,0,0,0,3.58,0,4.52
 84-94,0,2.71,0,97.65,0,6.36,0.68,0,0,4.73,0,49.19,15.81,0,0,0,1.04,0,7.48,0,0
 96-106,0,0,0,136.19,1.02,3.94,0,1.21,0,0,0,45.88,40.17,0.79,0,0,0,0,2.07,0,0
108-118,0,3.01,0.46,111.29,0,3.03,0,0,0,0,0,76.18,19.19,0,0,0.41,0,0,0,1.07,3.98
120,0,0,0,62.12,1.92,0,2,0,0,0,0,77.08,24.75,0,0,0,0,0,0,0,0
