stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mucous,neural,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,3.98,0
 24-34,1.3,0.73,0,0,0,0,0,1.1,0,7.38,0.68,0.68
 36-46,0,0,0,0,3.84,0,0,0,0,7.72,1.25,0
 48-58,1.39,1.93,0,0.67,0,0,0.74,0,0,7.41,8.87,0
 60-70,0.97,0.87,1.36,0,0,0,0,0.75,0.62,10.62,2.64,0
 72-82,2.84,2.89,0,0,0,0,0,0,2.18,2.03,11.79,0
 84-94,0,3.23,1.31,0,0,0,0,0,0,0,4.41,0
 96-106,0.57,0,0,0,0,0,0,0,1.13,0,6.03,0
108-118,3.2,1.02,0,0,0,0.46,0,0,0,0,4.09,0
120,0,0,0,0,0,0,0,0,0,4.74,9.52,0
