stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.58,0,0,0,0,0,0,0,0
 14-21,1.13,1.75,0,4.37,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,0,0,0,0,0,4.62,0,0,0,0
 24-34,0,0,0,73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,11.38,0,0,0,0
 36-46,0,0,0,85.33,0,0,0,0.85,0,0,0,0,0,0,0,0,14.54,0,0,0,17.52,0,3.54,0,0,0,0,0,75.57,0,0,0,0
 48-58,0,0,0,66.03,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,55.17,0,0,0,0,0,0,0,47.38,0,0,0,0.54
 60-70,0,11.55,0,1190.51,0,0,0,7.17,0,3.3,0,0,0,0,0,0,10.65,0,0,0,62.89,0,0,0,0,0,0,0,11.03,1.27,0,0,0
 72-82,0,27.04,1.89,4877.1,0,0.68,2.66,50.68,0.49,0,0,0,0,1.66,0,0,41.46,0,0,2.59,201.63,0,1.18,0,0,2.42,0,1.16,6.87,1.82,2.72,5.54,12.81
 84-94,0,17.86,9.78,5151.1,0,0,0,34.78,0.64,0,4.17,1.57,0.68,3.19,0,0,53.42,0,0,2.95,174.88,0,0,2.99,0,1.42,0,0,13.81,0,0,7.68,0
 96-106,0,22.78,18.4,7686.82,3.09,4.53,1.62,48.68,1.9,0,1.69,0,0,4.65,1.31,32.26,36.5,0,1.85,0,196.58,1.19,0.83,0.98,0,2.43,3.36,1.19,0.57,0,0.65,0,1.6
108-118,0,16.5,10.66,6916.37,2,1.72,1.55,61.88,0.88,0,0,2.82,0.76,1.36,0.84,3.51,44.4,0,1.98,6.64,232.1,1.78,2.08,8.78,0,17.5,5.93,0.55,0,1.72,0,5.86,5.69
120,0,20.7,12.1,7340.53,0,2.21,0,56.98,0,0,0,1.96,2.02,0,0,0,8.87,2.91,0,13.7,227.85,0,0,0,0,1.04,0,0,9.58,0,7.96,0,15.67
