stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,38.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,97.44,0,0,0,0,0,0,0,0,0,0,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.78,0,0,0,0,0,0,0,0,0,13.92,0,0,0,0,0,0,0,0,0,0,55.16,0,0,10.04,0,0,5.21,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,1.88,0,0,6.37,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,49.84,0,0,0,0,0.9,1.37,0,22.21,0,0,0,0,0
 24-34,0,0,1.29,0,3.26,0,0,2.83,0,0,0,0.93,0,0,0,0,0,0,2.05,9.1,0.72,0,0,1.32,175.23,9.1,0,0,0.95,0.86,6.77,0.76,90.66,0,0,0.65,0,0
 36-46,0,0,0.73,0,2.21,0,0,8.24,1.14,0,0,1.3,0,0,0,0,0,0,0.67,10.77,0.67,0,0,0,424.67,15.91,0,0,0,0,0,0,151.77,0,0,0,0,0
 48-58,0,0,0.46,0,7.96,0,0,74.91,1.09,0,0.67,17.68,0.47,0,0.87,0,0,0,0,20.01,11.51,0,0.87,0,587.44,9.42,0.54,0,0,0,0,0,126.47,0,0,0,0,0
 60-70,0,0,0,0,1.32,0,0,263.72,0,3.05,2.31,8.19,2.6,0,0,0,0,1.16,0,13.21,7.63,0,0,0.67,1121.74,6.54,1.01,0,7.12,0,0.83,0,178.99,0,0,2.89,0,0
 72-82,0,0,2.27,0,2.34,0,0,372.82,0,0,0.7,17.68,2.56,0,0,0,0,0,0.78,1.32,9.59,0.56,0,1.3,959.05,5.64,0.52,0,1.76,0,0,0,93.69,2.11,0,12.13,1.07,16.47
 84-94,0,0,2.31,0,5.9,1.19,0,334.08,0,0.68,0,24.06,0,0,0.78,2.43,0,0.71,4.18,11.71,10.47,0,4.57,5.12,585.22,13.09,0,0,5.01,0,1.3,0,31.99,13.6,1.51,4.59,0,4.76
 96-106,0,0,0.81,0,19.19,1.66,0,341.06,0,0.58,0,15.82,0,0,0,0,0.86,5.14,0,8.26,17.05,6.25,0,1.42,561.21,22.79,0,0,3.56,0,0,0,24.7,9.12,0,6.77,0,0.91
108-118,0,0,1.77,0.74,5.63,0,2.51,483.45,0,0,0,37.56,1.3,0,0.69,0,0,0,0,26.72,8.91,4.67,0,0,803.34,13,2.99,0,1.92,0,1.06,0,33.71,14.38,0,6.49,0,0
120,0,0,9.35,0,29.03,0,0,420.43,0,2.28,0,45.19,1.2,0,0,0,0,0,1.5,0,12.45,0,0,1.5,1578.35,20.39,0,0,0,0,0,0,22.01,1.9,0,0,0,0
