stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,10.75,152.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.85,135.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.28,0,15.7,0,0,0,0,0,0,0,0,95.49,0,40.86,0,0,0,0,0
 10-12,0,9.71,0,0,10.65,0,0,0,0,0,0,0,0,53.65,0,5.38,0,0,0,0,0
 14-21,0,0,0,0,2.04,1.01,0,0,0,0,1.26,2.45,0,16.85,0,0,3.01,0,7.12,0,0
 24-34,0,0,0,0,1.37,0,0,0,0,0,0,1.52,0,29.03,0,0,0,1.53,5.42,0,0.6
 36-46,0,0,0,2.04,13.85,0,1.33,0,0,0,0,0.95,0,20.71,0,0,0,0,1.25,0,0
 48-58,0,0,0,0,4.27,1.22,0,0,0,0,0,1.36,0,18.97,0,0,0,0,1.25,0,0
 60-70,0,0,0,0,9.66,0.65,0,0,0,0,0,0,0.61,16.05,0.6,0,0,0,0,0,0
 72-82,0,0,0,0,1.39,1.12,0,0,0,0,0,0,0,9.27,0,0,0,0,0,1.16,0
 84-94,0,0,1,0,0,2.01,0,0,0,0.57,0,6.87,0,5.02,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.2,3.72,0,2.33,0.79,0,0,0.7,0,3.67,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.11,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
120,0,0,0,0,9.84,0,0,0,0,0,0,1.93,0,2.08,0,0,0,0,0,0,0
