stage,epidermis,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,lateral_line,neural
 14-21,0,0,0,0,0,0,0,0,4.87
 24-34,0,0,0,0,0,0,0,0,1.63
 36-46,0,0,0,0,0,0,0,0,0.95
 48-58,4.45,0.51,0,0,0.43,0,0,0,0.58
 84-94,0.62,0,0,0.68,0,0,0,0,0.73
 96-106,0,0,0,0,0,0,0.73,0,0
108-118,0.47,0,0,0.59,0,0,0.75,0,0
120,0,0,19.31,0,0,2.37,0,4.79,0
