stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,219.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.04,0,0,0,0,0,0,0,0,0,0
  5-6,23.03,139.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.17,7.46,0,14.07,0,0,0,20.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.15,10.69,0,0,95.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.37,0,0,0,29.43,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,276.01,3.57,0,0,99.57,0,0,0,6.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.77,0.9,0,5.57,0,0,1.02,4.57,0,0,0,0,0,0,0,1.01,6.95,0,0,1.98,80.83,3.29,0,3.77,0,0,8.95,0.99,0,2.16,4.51,30.49,0,0,2.31,0,0
 24-34,0,0,0,0,5.26,0,0,13.67,0,0,1.68,0.64,0,1.45,0,0.68,0,0,0,0,10.4,0,0,8.57,157.24,0.65,0,5.78,0,0,13.61,0,0.7,0,5.95,24.3,0,0,15.26,0,1
 36-46,0,0,0.95,0,1.22,0,0,13.06,0,0.71,7.73,0,0,0,0,3.64,0.86,0,0,0,24.53,0,0,0,132.56,0,2.9,0,0,0,10.72,0,0,0,0,35.09,0,0,2.41,0,0
 48-58,0,0,0,0,3.29,0,0,30.51,0,0,20.85,4.17,0,0,0,0,0,0,0,0,17.7,0,1.2,3.53,118.07,0.52,0,0.41,0,0,3.48,0,0,0,0,21.65,0,0,3.36,0,0
 60-70,0,0,0,0,10.85,0,0,30.05,0,1.62,5.12,0,0,0,0,0,1.09,0,0,0,12.65,0,0,0,39.16,2.27,0,0.62,0,0,0.61,0,0,0,0,4.9,0,0,10.76,0,0
 72-82,0,0,0.78,0,0,0,0,57.05,0,1.14,19.27,1.31,0,0.58,0.51,0,0,1.58,0,0,27.41,8.82,0,7.52,150.91,0.82,6.85,1.06,0,2.75,6.13,0,0.97,0,0,5.94,0,0.73,1.7,0,0
 84-94,0,0,0.63,0,1.87,0,1.09,62.1,2.09,0.91,15.95,0,0.99,1.1,2,0,0,1.13,0,1.11,36.6,1.16,2.51,0,65.33,3.47,0,1.1,0,0,20.47,0,0,0.69,0,7.45,0,0.71,3.78,1.78,0
 96-106,0,0,0,0,9.2,0,0,26.34,0,0,29.33,1.39,0,0,2.83,0,0,0,0,0.77,15.5,4.38,0.76,2.03,85.39,0,2.39,1.6,0,1.04,15.05,0,2.34,0,0,19.1,0,0,4.4,0,1.74
108-118,0,0,0.92,0,6.26,1.13,0,49.11,2.64,0.7,37.79,3.41,0,0,2.47,0.47,3.79,0,0.9,0.74,32.78,0,0,1.86,100.48,0,2.63,3.94,0,1.96,9.9,0,1.21,0,0,2.54,0.46,0,11.31,0,0
120,0,0,0,1.66,7.76,0,0,53.12,0,3.86,67.27,0,0,0,5.06,1.63,0,4.13,0,0,41.39,0,0,5.72,84.7,0,23.3,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0
