stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,787.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0
  5-6,7.97,154.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.57,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,14.25,0,0,0,26.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.8,0,3.76,0,0,0,0,0,0,0,0,70.24,0,0,0,0,0,0,0,0,0,193.76,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0
 14-21,0,0,0,0,29.94,0,3.69,0,0,0,0,1.83,2.49,46.3,0,0,0,0,0,32.25,0,6.22,23,0,0,0.9,0,0,0.87,27.72,0.8,13.45,0,0,0,0,0
 24-34,0,0,0.61,0,46.84,0,12.73,0,2.11,0,0,0,0,26.17,0,0,0,0,0,7.46,0.76,1.63,46.33,0,0,5.77,0,0,0,16.24,2.05,19.6,0,0,0,0,0
 36-46,0,0,0.98,0,29.3,0,47.74,3.74,5.3,0,1.74,0,0,14.92,0,0,2.26,0,0,14.41,0.87,3.55,124.35,0,0,6.77,0,0,0,21.53,1.97,32.56,0,0,0,0,0
 48-58,0,0,0,0,22.27,0,77.33,3.46,7.48,0,4.75,0,0,1.52,0,0,3.29,0.48,0,21.1,4.29,5.23,89.46,1,0.39,6.49,0,0.53,0,15.35,1.65,49.48,0,0,0,0,0
 60-70,0,0,0,0,8.83,0,99.22,4.14,0.91,0,10.65,0,0,2.61,7.46,0,4.85,0.77,0,32.65,4.07,2.03,142.33,1.95,0,4.69,0,0,0,0.62,2.58,20.51,0,0,0,0,0
 72-82,0,0,1.42,0,12.33,0,118.41,2.54,2.44,3.99,10.01,0,0,2.69,0.78,0,0,5.66,0,53.28,10.61,3.29,130.83,2.8,0.86,13.2,0,0.84,0,5.35,0,32.78,0,1.01,0.62,1.28,1.16
 84-94,0,0,1.55,0.57,17.54,0,153.4,8.1,0.56,0.87,8.18,1.4,0,1.77,5.48,0.55,2.34,0.83,0,65.07,5.88,7.02,81.85,6.69,0,34.56,0,0,0,15.04,0,19.43,0,0,1.4,3.74,0
 96-106,0,0,10.52,0,11.44,0,175.94,1.41,2.91,0,19.64,12.61,0,1.35,3.16,0,10.68,6.26,0,55.19,11.66,0.56,110.28,5.87,0,19.05,0,0,0,12.9,3,15.14,1.57,0,0,1.5,10.05
108-118,0,0,1.02,0,35.27,1.67,149.26,4.43,0.94,0,14.75,16.8,0,4.27,1.15,0,12.36,7.43,1.91,52.91,8.42,0.59,76.37,8,1.53,26.35,0,0.76,0,15.34,3.33,12.2,0,2.34,0,0.54,0
120,0,0,2.94,0,28.07,0,244.81,2.41,0,0,28.25,29.04,0,5.75,27.26,0,4.53,8.59,0,68.06,13.87,3.55,84.16,11.4,0,56.88,0,1.03,0,10.08,9.9,0,0,0,0,0,0
