stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,37.99,0,0,0,0,0
 24-34,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,10.3,0,3.2,6.14,0,0,0,0,45.83,0,0,0,0,0
 36-46,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,21.56,0,2.66,1.46,0,1.6,0,0,80.75,3.08,0,0,0,2.51
 48-58,0,0,0,0,5.43,1.54,0,0,0.66,0,0,0,0,1.04,12.73,0,3.86,6.54,0,0,0,0,24.29,0,0,0,0,0
 60-70,0,0,5.13,0,1.71,0,1.89,1.69,0,11.73,0,0,0,2.87,17.6,0,2.18,10.39,0,0,0,0,5.23,0,0,0,4.37,0
 72-82,0,2.37,0,0.5,3.2,21.01,3.82,0,0.59,19.5,0.49,44.95,0,3.84,19.12,0,1.97,10.04,0,0,0,5.21,8.71,0,0,0,0,0
 84-94,0,7.85,0,0,0.65,0,0,0,0,72.74,3.92,16.07,0,7.97,22.77,0.72,1.62,3.14,0,2.26,5.57,0,21.11,0,11.34,1.76,0,0
 96-106,0,12.32,0.57,0,10.73,0,0,0,0,105.31,9.19,5.94,0,17.71,20.28,0,0,8.9,0.79,0,0,5.81,22.47,0,0,0,0.74,0
108-118,0,23.56,3.65,0,8.88,0,0,0,1.61,100.91,6.83,102.75,1.31,15.78,22.08,0,2.25,7.25,0,0,0,2.16,10.25,4.55,0,2.1,0.48,1.39
120,0,9.25,1.42,0,0,0,4.64,0,7.54,92.69,9.87,45.22,0,8.25,3.76,0,2.89,9.11,0,0,0,0,11.19,0,0,0,12.69,0
