stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,93.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,18.07,0,0,0,0,0.81,0,0,0,0,0,1.16,0,0.85,0.93,0,0,0,0,0,1.42,0,0,0
 24-34,0,0,0.77,0,0,3.85,0,1.22,0,0,0,0,0,9,0,0,36.86,0,0,0,0,0,5.06,0,0,0
 36-46,0,1.45,0,0,1.91,2.77,2.81,3.54,1.45,0,0,0,0,6.38,0,0,136.05,0,0,0,0,0,14.7,0,0,0
 48-58,0,0,0,0,4.45,0.4,15.31,0.73,0,0,0,0,1.04,4.24,0,1.61,341.61,1.21,0,0,0,0,20.39,0,0,0
 60-70,0,0,5.42,0,37.57,0,65.19,0.63,0,0,0,0,0,4.17,0.64,0,766.94,0,0,0,0,0,49.97,0,0,0
 72-82,0,0,0,0,42.78,0,80.55,0,0,0.56,0,0,0,9.75,0,0,877.39,0,0,0,0,2.34,48.04,0.56,0,0
 84-94,0,0,1.22,0,46.43,0,53.23,0.83,1.06,0,0.58,0.69,0,5.18,0,0,587.64,0,1.31,0,0,0,55.6,0,0,0
 96-106,0,0,2.87,4.65,57.4,0,41.38,0,0,0,0,0,0,6.89,0,2.16,518.07,0,0,0,1.46,0,4.63,0,0.57,0
108-118,0,0,0.93,0,68.08,0,47.48,0,0,0,0,0,1.44,9.12,0,1.52,613.38,0,0,0,0,1.17,13.07,0.85,0,1.03
120,0,0,9.51,1.81,70.15,0,161.97,0,0,0,0,0,0,1.15,0,0,1304.33,2,0,0,0,1.83,51.69,0,0,0
