stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.94,0,0,0,0,0,0,0,0,0
  5-6,8.85,49.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.75,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,15.13,85.93,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.98,0,0,0,3.54,89.23,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,127.67,2.26,1.05,0,0.95,0,1.27,1.14,0,8.15,0,0,3.89,19.25,6.88,46.85,1.93,1.87,37.27,2.54,3339.35,0,11.27,0,1.5,4.39,14.42,0,0,0
 24-34,0,0,0,0,24.34,1.09,0.99,0,1.41,0,1.12,0,0,3.96,0,0,2.36,14.12,1.32,44.88,0,4.85,4.54,0,594.16,0,0,3.72,0,1.59,14.38,0,3.03,0
 36-46,0,0,0,0,6.33,0,0,0,0.57,0,0,0.56,0,0.74,1.79,0,1.18,7.64,0,28.23,0,23.97,3.61,0,447.29,0,0,0.82,0,0,2.57,0,0,0
 48-58,0,0,0,0,0,0,1.77,0,1.89,0,0,0,0,0.9,0.73,0,0.47,2.97,1.96,16.22,0,6.77,0,0,206.46,0,0,0,0,0,3.05,0,0,5.42
 60-70,0,0,0,0,5.24,0,5.89,0,1.16,0,1,0,0,2.6,2.74,0,2.11,1.33,0,12.69,0,4,1.46,0,266.1,0,0,0.6,0,0,0,0,0,5.92
 72-82,0,0,0,0.56,10.24,0,28.89,0,0,0,1.56,0.68,0,3.12,1.92,0,4.07,1.63,0,15.11,0,6.24,10.19,0,98.55,0,0,0,0,0,0,3.09,0,0
 84-94,0,0,0,1,29.4,0,3.94,0,5.41,0,0,5.64,0.71,6.09,2.12,0.64,1.27,5.62,0,9.79,0,15.87,4.42,0,391.48,1.4,0,0,0,0,0,2.58,2.09,0
 96-106,0,0,0,0,44.64,0,6.15,0.95,2.75,0,0.57,1.28,0,5.03,6.74,0,5.85,2.9,0,13.54,0,19.02,10.88,0,243.31,0,0,0,0,0,0,8.8,0,10.5
108-118,0,0,0.84,0,46.12,0,4.53,0,10.23,0.48,2.87,3.22,0,13.47,4.61,2.03,0,11.16,5.34,13.52,0,14.12,3,0,254.93,0,0,0.52,0,0,0,11.02,3.91,0
120,0,0,0,0,28.08,0,1.08,0,9.02,0,0,0,0,2.75,2.13,1.42,2.76,0,0,8.67,0,31.32,1.86,0,135.81,0,0,0,0,0,0,3.47,5.02,0
