stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,mesenchyme,mucous,neural,periderm,slow_muscle,spinal_cord,vasculature
  3-4,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0
 24-34,0,0,0,0,1.53,0,0,0,0,0,0,0,1.62,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.9,0,0,11.91,0,1.05,0
 48-58,0,0,0.92,0.64,0,0,0,0,0,0,0,0,0.66,3.08,0,0,0
 60-70,0,0.66,0,0,0,0,0,0,0,0,1.66,0,0,15.25,0,0,0
 72-82,0,0,1.43,0.78,0,1.35,0,0,0.75,0,0,0,2.42,27.48,0,0,1.02
 84-94,0,0,0,0.66,0.91,1.07,0,0,0,1.34,0,0,0,65.82,0,0,0
 96-106,0,0,0,8.38,2.72,0.57,1.06,0.61,5.28,0,0,2.93,8.41,230.71,0.69,0,1.07
108-118,0,0,0,3.36,2.1,6.34,0,0,0,0,1.52,0,0,131.52,0,0,0
120,0,6.13,0,4.44,3.08,17.68,0,0,0,0,0,1.1,0,105.58,0,0,0
