stage,eye,glial,mesenchyme,neural,notochord,olfactory,otic,spinal_cord
 10-12,0,0,0,4.2,0,0,0,0
 14-21,0,0,0,0,1.04,0,0,0
 24-34,1.18,0,0,0,0.77,22.49,0,0
 36-46,0,0,1.83,1.18,0,51.99,0,0
 48-58,6.38,0,10.12,0,0,55.23,0.96,0
 60-70,0.93,0,6.63,0,0,29.09,1.44,1.54
 72-82,0,0.91,2.46,0,0,98.4,0,0
 84-94,0,0,0.63,0,0,100.04,1.18,0
 96-106,1.52,0,0.79,3,0,126.14,1.34,0
108-118,0,0,11.28,0,0,55.66,0.82,0
120,6.84,0,0,0,0,149.11,0,0
