stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,12.8,399.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.69,0,0,0,0
  5-6,0,110.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,4.82,0,9.79,0,0,0,0,0
 14-21,0,0,8.11,4.07,0,0,0,0,0.96,0,0,0,0,0,0,0.9,14.19,2.47,0.86,0,3.2,0.92,2.92,0
 24-34,0,0,1.6,1.68,1.45,0,0,0,0,1.15,0,0,0,0,0,0,2.27,0,0,0,0,0,1.06,3.77
 36-46,0,0,0,0,0,0,0,0,0,0,10.82,1.56,0,0,0,0,1.14,0,0,0,0,0,0.59,0
 48-58,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0.38,1.17,0,0,0,0,0,0,0,0,0
 60-70,0,0,2.08,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0
 72-82,0,0,0,0,2.86,0,0.56,2.22,0,0,0,0,0,2.19,0,0,4.71,0,0,2.52,0,0,0,0
 84-94,0,0,0,0,7.19,0,0,1.56,0,0,0,0,0.58,0.87,0,0,0.89,0,0,18.21,0,0,0,0
 96-106,0,0,0,0,0.99,1,0,1.14,0.77,0,0,0,0,1.62,0,2.33,0,0,0,4.23,0,0,1.68,0
108-118,0,0,0.91,0,5.07,1.21,0,0,0.48,0,0,0,0,1.45,0,0.57,2.16,0,0,2.15,0,0,0,0
120,0,0,0,0,19.16,1.23,0,0,2.59,0,0,0,0,10.76,0,0,18.91,0,0,1.1,0,0,0,0
