stage,epidermis,eye,glial,neural,spinal_cord
 48-58,0,1.56,0.52,3.53,0.82
 60-70,0,0,0,0,0.8
 72-82,0.61,0,0,0,0.77
 84-94,0,0,0,0,1
120,0,0,0,9.77,0
