stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,192.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0
  5-6,0,116.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,81.14,0,0,0,0,29.75,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,2371.51,0,0,0,371.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,263.44,0,29.89,0,0,184.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11782.21,26.8,0,0,1953.84,0,0,3.57,22.01,0,6.05,87.83,0,0,0,0
 14-21,0.89,0,0,0,140.23,2.78,23.43,0,0,0,179.32,1.14,0,0.81,0,0,5.54,0,1.76,0,6.46,0,0,5.77,4160.75,4.85,49.8,57.75,37,0,1.68,6.27,1.08,0,6.89,4445.24,0,1.62,0,0
 24-34,0,0,0,0,82.5,0,129.53,0,1.79,0,164.7,0,5.95,0,7.2,0,0,0,10.05,0,16.88,0,0,6.56,8958.7,1.7,34.79,71.97,0,0,14.99,0,6.95,1.01,1.27,3246.06,0,13.29,0,0
 36-46,0,0,0,0.96,18.52,0,948.04,0.97,0.81,0.58,174.23,0,0,0,6.25,0.59,7.36,0,0,0,21.95,0.75,1.78,3.15,13769.24,1.2,6.86,11.5,0,0,6.26,1.05,3.08,0,2.19,5009.58,0,6.71,0,3.54
 48-58,1.55,0,0,0,25.81,0,2071.83,0,1.58,2.4,198.9,0,0,0.63,0,0,0,4.04,0,5.18,24.66,0,0,6.75,5231.31,1.81,6.48,2.66,0,0,3.47,0,1.85,0,0,2248.38,0,0.43,0,16.9
 60-70,0,0,0,0,1.25,0,974.53,0,0,0,150.21,0,0,0,0.65,0,0,0,0,0,10.48,0,0,2,1315.09,0,0,0,0,0,0.83,0,0,0,0,699.45,0,0,0.85,0
 72-82,0,0,0.88,0,11.57,0.8,480.45,0.75,0,0,187.63,1.38,0,0.5,1.89,0,0,0,0,0,19.56,0,0,3.42,1103.71,3.31,4.12,1.27,0,1.2,7.81,0,0,0,0,242.08,0,0,0,0
 84-94,0,0,0.81,0,5.35,0,338.65,0,0,0,167.23,0,0,0,0,0,0,0,0,0,7.06,0,0,3.28,604.67,0,5.7,1.29,0,0,0,0,0.7,0,0,197.82,0,0.61,0,6.17
 96-106,0,0,0,0,17.87,1.68,263.61,0.81,0,0,190.58,0,0,1,0,0,0.81,0,0,0,14.34,0,1.84,1.08,458.47,0,0.81,0,0,0,0.83,0,0,0,0,137.8,2.45,0.68,0,0
108-118,0,0,0,0,4.16,8.8,363.67,0,0,0,155.51,0,0,0.98,0.43,0,0,1.31,0,0,8.95,0,0,0,603.89,0,3.06,2.3,0,0.91,0,0,0,0,0,68.13,0,0.42,0,0
120,0,0,0,0,2.78,0,266.28,0,0,0,280.36,0,0,0,0,0,0,0,0,0,9.45,0,3.46,3.95,610.59,0,0,0,0,0,0,0,0,0,0,79.65,2.55,1.77,0,0
