stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,17.18,107.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.28,0,6.28,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,18.8,0,14.77,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,2.36,0,1.41,0
 24-34,0,0,1.1,0,0.99,0,0,0,0,0,0,5.57,0,0,1.9,0.67,4.09,0
 36-46,0,0,0,0,0,0,0,0,0,1.44,0,5.84,0,0,1.1,0,1.53,1.39
 48-58,0,0,0,0,8.36,0,0.58,3.75,0,0,0,11.97,0.76,0,0,0,0.91,0
 60-70,2.52,0,0,0,28.2,0,0,20.94,0,1.63,0,19.65,0,0,0,0,2.91,0
 72-82,0,0,0,5.17,100.39,0,0,6.88,0,2.83,0,8.11,0,0,0,0,0,0
 84-94,0,0,0,0,65.09,0,0,14.84,0.75,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.53,103.21,0,0,11.25,0,0,0,7.57,0,0,1.02,0,0,0
108-118,0,0,0,0,81.38,0,0,1.95,0,0.81,0.91,2.31,0,0,0,0,4.16,0
120,0,0,0,0,107.45,5.95,0,0,0,0,0,3.49,4.09,0,0,0,0,0
