stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.38,0,0,3.67,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,57.42,8.43,0,0,27.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.3,0,6.03,0,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0,0,0,0,0,57.13,0,0,0,103.32,0,7.1,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,7.15,7.04,12.81,3.7,0,0,0,4.87,8.42,0,0,0,0,0,0,0,0,0,0,0,7.09,182.83,15.25,0,0.96,7.29,0,20.31,92.91,0,0,7.49,33.96,0,0,0,0,0
 24-34,0,0,0,8.85,0,18.6,0,0,1.71,5.6,1.02,0,0,0,0.68,0,0,0.74,1.29,3.8,0.71,0,0.75,774.65,1.43,6.18,0,0,0,20.16,0,0,1.83,2.76,139.78,0,0,0,0,0
 36-46,0,0,0,0,0,30.49,0,2.32,0,17.33,0,0,0,0,0,0,0,0,0,4.29,1.84,0,0.89,1214.29,0,20.69,1.74,0,0,2.09,0,0,0,0,204.72,0,0,0,0,0
 48-58,0,0,0,5.65,0,167.97,0,9.15,0,53.12,0,0,0,0,0,0,4.16,1.3,0.78,20.29,3.89,0,3.35,2119.1,0,11.75,0.49,0,0,3.36,0,0.47,0.9,0,95.1,0,0,0,0,0
 60-70,0,0,0,5.74,0,560.44,0,3.94,0,81.18,0,0,0,2.97,0,0,0,0,0,27.39,0.73,5.76,1.65,3269.9,0,14.04,1.01,0,0,6.58,0,0,0,0,135.32,0,1.35,0,0,14.4
 72-82,0,0,0,9.16,0.54,736.13,0,1.78,0.79,127.7,0.56,0,0,0,0,0,1.43,0,0,27.2,5.37,0.49,12.87,3636.19,0,13.56,4.07,0,1.78,14.97,0,0,0,0,89.82,4.35,0.51,0,1.24,12.39
 84-94,0,1.15,0,11.26,0.92,592.3,0.92,6.09,1.83,83.3,0,0,0,2.29,0,12.27,0,2.93,5.22,25.27,13.85,3.49,2.96,2410.48,0,39.44,2.94,0,0,21.04,0,0.8,0,0,94.72,13.8,3.12,0,0.91,0
 96-106,0,0.99,0,17.91,13.74,518.49,0,6.22,0.64,90.8,1.59,0,0,0,0,0.81,6.15,13.48,0,51.57,6.81,0,0,2132.76,0,15.79,5.41,0,0,24.13,0,0,0,0,33.04,6.9,3.27,9.55,0,14.52
108-118,0,0,0,16.04,0.69,423.31,0,4.71,6.16,82.87,1.39,0,1.02,0,1.22,0,0,0,0,28.4,1.63,2.25,4.75,2388.33,0.69,11.88,12.27,0,0,19.12,0,1.56,0,0,44.04,10,0,5.08,8.45,2.67
120,0,0,0,34.02,10.38,717.1,0,4.2,0,214.74,0,0,0,0,3.6,0,0,0,0,92.14,0,0,10.94,4212.43,0,15.49,1.66,0,19.01,8.94,0,2.43,0,0,53.13,8.52,0,0,0,0
