stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.97,106.62,0,33.74,0,0,0,0,0,0,0,45.98,0,0,0,0,0,0,0,0,0,257.46,0,0,0,151.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.57,70.14,0,39.29,0,0,3.45,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,276.46,54.98,0,0,10769.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,250,0,819.35,0,0,13.93,0,0,0,0,59.81,0,0,0,0,0,0,0,0,3.87,1173.89,260.13,0,0,35583.89,0,0,8.5,401.8,208.34,0,760.29,0,0,0,0,0,0
 14-21,0,31.76,0,0,30.13,54.43,8.81,0,0,3.21,1.08,1.33,4.35,0,0,0,0,0.85,2.73,0,633.09,212.54,0.94,0,0.94,183.21,0,2.91,0,19079.4,3.58,573.72,15027.09,50.64,0,0,0,0,0
 24-34,0,0,0,0.83,7,3.14,1.81,0,0,3.02,0.69,0,0,0,0,0,0,0,38.8,0,848.82,112.26,0,2.56,0,0,0,10.09,0,63.3,0,23.01,986.33,21.13,0,0,0,0,0
 36-46,0,0,0,0,0,15.83,8.55,3.09,0,2.22,0,0,0,0,0,0,2.1,0,256.82,0,1237.66,133.44,0.85,0,0,25.68,0,0,0,58.63,0,0.96,6.21,12.25,0,0,4.06,0,0
 48-58,0,0,0,0,1.84,14.14,16.7,0,0,2.9,0,0,0,1.07,0,4.08,0,0.54,139.95,0,875.26,87,0,0,0,8.44,0,1.27,0,3.6,0,1.22,0,11.16,0,0,1.59,0,0
 60-70,0,0,0,0,0,0,23.09,0,0,0,0,0,0,0,0,0,0,0,137.05,0,456.95,36.03,0,0,0,0,0,0,0,0,0,0.71,0,8.66,0.81,0,0,0,8.7
 72-82,0,0,0,0,4.29,0.57,44.64,2.98,0,2.99,0,0,0,0,0,0,1.47,0,236.37,2.79,596.52,76.28,0,1.23,0,0,0,0,0,0,0,2.68,0,12.01,0,0.93,1.2,0,3.65
 84-94,0,0,2.22,0,3.37,0,35.34,1.35,0,0.64,0,0,0,1.6,2.32,0,0,0,240.41,0,629.48,60.04,0,0,3.97,0,0,0.8,0,0,0,0.73,0,4.18,0,2.53,0,4.26,0
 96-106,0,0,0,0,5.75,0,20.44,7.66,3.56,4.14,1.71,0,0,3.58,0,2.39,0,0,172.99,0,580.7,71.3,0,2,0,0,6.24,2.34,0,0,6.07,0,0,0,0,0,1.57,1.85,1.22
108-118,0,0,0,0,3.29,0,22.63,8.46,0,1.16,0,0,2.64,0,0,0,0,0,162.03,0,680.87,67.74,0,0,0,0,0,0,0,0,0,0.91,0,7.39,0,0.96,0,0,0
120,0,0,0,0,5.13,7.06,13.75,2.79,0,0,8.58,0,0,2.69,0,0,10.42,0,99.79,0,630.65,99.56,0,0,0,39.68,0,0,0,0,0,0,0,0,0,3.14,10.52,0,3.14
