stage,epidermis,eye,liver,neural,spinal_cord
  7-9,0,0,0,4.94,0
 14-21,0.92,0,0,1.11,0
 24-34,0,0.6,0,0.77,0
 36-46,0,0,0,1.78,0
 48-58,0,0,0,0,0.66
 72-82,0,0,0,2.1,0
 84-94,0,0,5.34,0,0
108-118,0,0,0,4.02,0
