stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,9.94,72.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0
  5-6,13.64,100.72,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.87,0,6.71,0,8.74,0,0,0,0,0,0,0,0,0,83.51,17.58,0,0,36.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,95.67,9.3,0,0,80.95,0,0,0,0,0,0,0
 14-21,0,0,0,3.88,9.6,0,0,0,1.27,0,0,0,0,5.34,58.48,0.85,0,0,2.26,0,11.66,0.88,18.78,14.88,2.57,0
 24-34,0,0,0,0.61,8.29,0,0,0,1.28,0,0,12.64,0,6.04,113.32,0.65,0,0,0,0,0,0,0,35.29,1.74,0.86
 36-46,0,0,0,0,39.01,0,1.88,0.67,6.98,0,0,21.46,0.57,1.45,97.53,0,0,0,0,3.59,0,0.67,0,22.94,1.49,0
 48-58,0,0,0,0,68.29,0,0,0,6.67,0,0,10.05,0,2.55,76.99,0,0,0,0,0.79,0,0,0,13.59,0.58,0
 60-70,0,0,0,0,68.67,0,0,1.75,1.92,0,0,9.58,0,0,52.26,7.66,0,2.01,0,0,0,0,0,6.79,0,0
 72-82,0,0,0,0,54.54,0,0,0.51,10.27,0,0,10.03,0,2.15,39.11,0,0,0.51,0,0,0,0,0,2.16,0,0
 84-94,0,0,0,0.71,31.8,0,0,0,10.08,0,1.57,11.14,0,0.79,21.01,0,0,0,0,0,0,0,0,13.62,0,0
 96-106,0,0,0,0.65,19.8,0.76,0,0,6.96,0,0,9.09,0,1.18,8.3,0,0,0,0,5.24,0,0,0,3.11,0,0
108-118,0,0,0,0,18.37,0,0,1.41,5.95,0,0,5.47,0.94,4.38,15.2,0,0,0,0,0,0,0,0,0,0,5.47
120,0,0,0,7.61,45.59,0,0,1.56,5.67,4,0,6.94,0,0,18.23,0,1.62,0,0,2.45,0,0,0,0,0,0
