stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,99.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,23.53,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,27.67,0,0,0,11.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,161.18,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,8.25,0,0,0,0.82,0,0,0,0,0,0,0,0,8.79
 24-34,0,0,0.69,0,0,1609.59,0,0,0,2.16,0,0,0,0,0,0,2.05,10.6,0.94,0,0,0,36.29,0,0.78,0,0,0,0.8,0,5.38,0,0,1.4,0,44.69
 36-46,0,0,1.18,3.4,0,1713.06,0,0,0,1.83,0,0,0,0,0,0,0,27.56,0.73,0,0,1.98,42.83,0,0,0,0,0,0.6,0,3.59,0,0,5.33,0,24.11
 48-58,0.58,0,4.57,9.23,0,2784.45,0.38,0,0,6.99,0,0,0,0,0,0,0,21.71,7.7,0.55,0,0,80.7,0,0,0,0,0,1.65,2.32,15.86,0,0,0,0,17.21
 60-70,0,0,8.39,0,0,3733.39,0,4.1,3.06,14.87,0,0,2.41,0,0,0,3.05,0.93,14.46,0,0,0,146.37,0,0,0,0,9.37,0,0,12.46,0,0,0,0,26.99
 72-82,0,0,3.09,1.66,0,3078.81,0,1.27,0.77,16.66,0.82,0,0,0,0,0,1.4,0,27.56,0,0,0.56,80.25,0,1.08,4.29,0,0,0,0,9.3,0,1.44,2.2,2.11,7.71
 84-94,0,0,2.53,0,0,6382.99,0,0.68,0,10.21,0,0,0.99,2.37,0,0,0,0.59,31.17,1.71,0,2.96,104.81,1.37,3.11,3.38,0,12.71,0,7.07,17.65,0,0,1.04,0,8.48
 96-106,0,0,6.15,21.01,22.82,5017.56,0,0,1.02,18.85,2.48,0,1.48,0,0,0,9.15,14.09,25.07,0,0.73,0.76,120.33,0,1.19,0,0,6.92,0,9.08,6.8,1.5,1.5,7.56,1.44,0
108-118,0,0,0.62,1.38,0,5135.78,0,1.57,7.1,9.99,2.67,0,2.48,0,3.19,0,0,0,38.81,0,0,2.74,85.19,0,1.1,5.51,0,15.65,0,0,3.12,0,0.89,0.49,0,12.8
120,0,0,0,0,0,1534.94,0,0,12.97,9.38,1.22,0,0,0,1.59,1.74,0,0,12.08,0,3.51,0,63.55,0,13.89,2.11,0,16.58,0,0,0,0,0,0,0,0
