stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,11.92,117.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,113.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,20.81,5.9,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,7.06,0,0,0,0,11.8,0,0
 24-34,0,0,0,0,0,3.93,0,0,0,0,0,0,1.13,0,35.26,0,0,0,0,9.85,0,0
 36-46,0,0,0.74,0,0,10.95,0,0,0,0,0,0,0,0,17.51,0,0,0,0,6.28,0,0
 48-58,0,0,0,0,0,63.96,0,0,1.03,0,0,0,1.93,0,20.78,0,0,0,3.16,0,0,0
 60-70,0,0,0,0,0,185.55,0,0,0,0,0,0,2.43,0,8.23,0,0,5.2,0,11.07,0,0
 72-82,0,0,0,0,0,91.16,0.5,2.01,4.7,2.04,0,0,11.76,0,31.08,0,0,0.54,0,1.71,0,1.14
 84-94,0,0,0,0.63,0,87.6,0,0,0.85,0,0,0,0,0.62,32.01,0,1.04,0,0,0,0.64,0
 96-106,0,0,0,0,0,131.08,0,0,0,0,0,0,7.87,0,2.18,0,0,0,0,0,0,0
108-118,0,0,0,1.58,1.32,136.3,0.48,0,1.32,0,0.41,0,16.11,0,6.54,0,0,0,5.71,1.14,0.49,0
120,0,0,0,0,0,67.76,0,0,5.79,0,0,0,2.91,0,21.31,1.33,0,0,0,0,0,0
