stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  3-4,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,34.65,0,0,0,9.52,0,9.6,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,23.03,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.89,0,0,0,0,0,7.2,0,0,0.91,4.4,0,0,0,1.16,0.73,32.58
 36-46,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,51.86
 48-58,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,30.13
 60-70,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.19
 72-82,0,1.9,0,0.76,0,0,1.1,0,0,0.81,0.78,0,1.34,0,0,0,0,0,54.19
 84-94,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,74.33
 96-106,0,1.07,0,0,2.53,1.02,0,1.28,0,0,0,0,0,2.34,0,2.9,0,0,98.2
108-118,0,0,0,0.75,0,1.84,0,0,0,0,0.87,0,14.21,0,0,0,0,0,113.5
120,0,0,0,0,0,0,0,0,0,0,0,0,2.84,0,0,0,0,0,79.11
