stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,15.77,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,124.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.25,0,0,4.45,0,0,0,0,0,0,0,0,0,43.11,0,0,13.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,52.66,0,0,7.14,0,0,0,0,0,0
 14-21,0,0,0,0,3.28,0,0.9,0,0,0,0,0,0,0,0,1.81,5.88,0,0,0,0,3.56,0,6.45,2.9,0
 24-34,0,0,0,0,0,0,0,0,0.71,0,0,0,0,3.86,0,0,4.25,0.62,0,0,1.7,0,0,0.62,0,0
 36-46,0,0,0,0,1.28,0,1.92,0,0,0.65,0,0,0,0.56,0,0.63,6.04,0,0,0,5.64,0,0.63,0,2.41,0
 48-58,0,0,0,0,1.41,0,0,0.84,0,0,0.74,0,4.53,1.79,0.61,0,10.17,0,0,0,0,0,0,0,1.53,0
 60-70,0,0,0,0,0,0,1.46,0,0,0,0,1.69,0,0,0,0,6.93,0,0,0,0.97,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,9.66,0,0,0,0,0,2.57,0,0.67,4.19
 84-94,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,2.14,15.11,0,0,0,0.61,0,0.9,0,0,0
 96-106,0,0,0.74,0,0.72,2.12,5.02,0,0,0,1.61,0,1.03,0,0,0,22.3,0,2.79,0,2.56,0,0.75,0,0,0
108-118,0,0,0,0,0,0,1.18,0,1.36,0,0,0,0,2.31,0,0.95,6.67,0,0,0,0.98,0,0,0,0,0
120,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0
