stage,axial,blastomeres,endoderm,neural,periderm,spinal_cord,taste
  3-4,56.64,1389.98,0,0,30.53,0,0
  5-6,19.31,385.11,0,14.2,0,0,0
  7-9,0,0,3.22,18.79,0,0,0
 24-34,0,0,0,0,1.49,0.87,0
 36-46,0,0,0,0,2.32,0,0
 60-70,0,0,0,0,0,1,0
 84-94,0,0,0,0,0,0,1.01
108-118,0,0,0,0,0,0,1.13
