stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,mesenchyme,muscle,neural,olfactory,slow_muscle,spinal_cord
  5-6,7.7,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.94,0,0,0
 24-34,0,0,0,0.71,0,0,0,1.06,0,18.25,0,0,0.73
 36-46,0,0,0,1.35,0,0,0,0.79,0,5.32,0.64,0,2.1
 48-58,0,1.94,0,3.76,0.98,0.81,0,5.89,0,228.67,0,0.55,1.23
 60-70,0,0,0,0.62,1.07,0,0,0,0,2.1,0,0,0
 72-82,0,0,1.23,0,0,11.29,0,1.54,0.84,15.4,0,0,0
 84-94,0,0,0,5.65,0,0,0.6,6.47,0,5.44,0,0,0
 96-106,0,0,0,7.17,0,0,0,0,0,0,0,0,0
108-118,0,0,1.41,0.48,0.47,0,0,0,0,25.42,0,0,0
120,0,0,0,7.02,0,0,0,0,0,10.5,0,0,0
