stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,xanthophores
  3-4,28.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,24.21,0,0,0,0,0,20.04,0,0,0
 14-21,0,0,0,0,0,1.06,0,0,24.45,0,0,0.97,9.03,3.06,3.93,0,0,0,19.07,0,46.27,0
 24-34,0,0,0.71,0,0.69,0,0,0.78,18.13,0,0,0,28.84,10.37,5.77,0,0,0,6.37,0.74,39.14,0
 36-46,0,0,0,0,0,0,1.04,0,4.94,0,0,0.71,20.27,5.97,0,0,0,0,8.88,0,9.54,0
 48-58,0,0,0,0,0,0,1.75,0,18.74,0,1.91,1.02,10.32,0,2.33,0,0,0,4.18,0,20.17,4.16
 60-70,0,0,0,0,0,0,12.11,0,7.92,0,1.13,7.88,21.46,6.61,5.1,0,0,0,9.83,0,20.6,0
 72-82,0,0,0,0,0,0,31.02,0,16.99,0,3.99,2.68,15.46,4.56,7.82,0,0,0,3.32,0,5.2,0
 84-94,0,0,0,0,0,0,38.13,0,25.94,1.31,4.16,4.61,13.86,1.31,11.73,0,0,1.4,0,0,4.95,0
 96-106,0,0,1.64,0,0,1.85,48.44,0,1.9,0,13.24,0,7.96,7.69,13.36,0,0,0,0,0,11.81,0
108-118,0,0,0,1.06,0,0,61.7,0,3.14,0,7.4,1.8,8.18,5,17.57,0,2.98,0,3.88,0,7.08,0
120,0,0,0,0,0,0,4.73,0,7.54,0,1.15,23.68,29.4,8.44,3.88,0,0,0,9.97,0,3.89,0
