stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.59,0,0,0,27.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,69.21,1.99,0,0,0,1.58,0,0,0,0,7.31,0,0,0,0,0.97,0,5.23,0,0,3.08,4.89,6.08,0,0.82,0,0,0,2.44,2.62,0,0,5.35,3.07,0,0,0,0,0
 24-34,0,0,0,75.49,0,0,45.55,0,29.89,0,1.05,0,0,4.51,0,0,0,0,0,9.14,7.28,0,0,8.67,50.59,1.25,1.59,0,0,0,1.98,0,0,0,0.73,0,9.37,0,0,11.86,0,0
 36-46,0,0,0,26.13,0,0,80.48,0,47.95,0,3.09,0,0,0.87,0,0,1.45,0,0,17.13,25.97,0,0.8,7.12,95.09,0,0,0,0,0,1.6,0,0,0,8.64,0,11.31,0,0,0,0,14.89
 48-58,0,0,0,38.29,0,0,124.34,0,69.74,1.64,8.84,0,1.47,1.94,0,0,34.14,1.05,0,35.94,15.7,0,1.02,3.46,64.3,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0.8,0,1.46
 60-70,0,0,0,41.07,0,0,326.56,0,85.54,2.15,6.28,0,0,0.66,0,0,53.64,0,0,10.15,59.65,2.12,6.36,4.34,82.77,1.04,0,0.69,0,0,9.85,0,0,0,0,0,4.56,0.61,6.34,12.19,0,13.45
 72-82,0,0,0,17.99,1.23,0,229.52,0,29.4,0.82,7.94,0,0.59,7.23,0,2.95,64.1,0,1.53,2.58,42.45,0,0,1.51,39.13,0,0,0.58,0,0,3.12,0,0,0,0,0,7.13,0,1.38,8.52,2.96,8.12
 84-94,0,0,0,60.04,0,0,515.68,0,68.21,5.2,1.11,1.38,0.6,2.2,1.05,4.12,164.02,0,0.63,13.49,51.64,6.16,0,3.34,19.95,0,0,4,0,0,5.95,0,0,0,0.79,0,0,0,1.83,1.37,2.36,0.74
 96-106,0,1.41,0,52.11,1.17,1.14,544.71,0,51.76,0,12.99,0,0,2.1,0.72,5.98,241.14,0,3.07,2.48,87.16,2.12,4.99,2.78,65.48,0,3.06,0,0,2.93,10.76,0,0,1.36,0,0,0,0,6.43,6.57,13.31,21.64
108-118,0,0,0,71.55,2.61,1.82,647.97,0.58,81.06,2.52,10.32,0.44,0,0.63,0,4.28,528.28,4.09,1.53,5.67,80.72,0.53,7.94,5.31,38.61,0,1.7,8.64,0,0,17.19,0,0,0,0,0,3.7,0.55,6.86,8.63,8.72,21.21
120,0,0,0,70.38,13.43,0,253.92,0,57.17,0,2.21,2.45,0,0,0,1.28,403.67,3.53,0,7.72,20.46,0,0,0,26.86,0,1.26,0,0,2.54,1.56,0,0,0,0,0,0,0,21.7,37.67,11.28,0
