stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0
 14-21,0,1.83,0,0,0,0,0,52.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,215.5,0,0,0,0,0,0,0,0,1.92,0,0,0.95,0,0,0,0,0
 36-46,0,0,0,0.61,0,0,0,361.61,0,0,0,1.51,0,0,0,0,6.8,0,0,0,1.13,0,0,0,0
 48-58,3.05,0,0,2.71,0,0,0,494.04,0,0,1.52,0,1.35,0,0,0,12.94,0,3.85,0,1.48,0,0,0,0
 60-70,0,0,0,23.14,0,2.95,0,666.11,0,0,0,0,2.98,0,0,0,12.1,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.93,1.65,1.54,0,560.21,0,0,0,0,3.69,0,0,0,6.63,1.28,0,0,0,0,0,0,0
 84-94,0.74,0,0,6.66,0,0,0,741.07,0,0,0,0,1.25,0.86,0.86,0,0,0,3.25,0,2.08,1.27,0.73,0,0
 96-106,0.94,0,0,6.69,0,2.88,1.73,729.7,1.9,0,1.22,0,0.6,0,0,1.05,16.59,0,0.69,0,1.71,0,4.26,1.22,5.68
108-118,0.9,1.98,0,9.97,0,1.6,0.52,627.95,0.58,0,0,0,5.09,0,0,0,18.53,0,0,0,0,0,1.67,0,0
120,4.91,1.97,1.89,4.21,0,0,1.77,1292.98,0,1.15,0,0,2.36,0,0,1.08,12.23,0,0,0,0,0,10.6,0,0
