stage,epidermis,eye,fin_epithelia,gut,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord,vasculature
  7-9,0,5.96,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0
 14-21,0.95,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0
 24-34,0,0,0,0,0,0,0.88,0,1.87,0.67,0,0,0,4.93,1.83,0
 36-46,0.56,0,0,0,0,0,1.82,0,0.59,1.7,0,0,0,0,1.13,0
 48-58,0,0,0,0,0,0,3,0,0,2.26,0,2.13,0,0,0,0
 60-70,0,0,0,0,0,0,5.9,0,0,0.8,0,0,0,0,4.63,0
 72-82,0,0,0,0,0,1.36,0.58,0,0,1.88,0,0,0.63,0,0,0
 84-94,0,0,0,0,0,6.68,1.65,0,0,1.25,0,0,0,0,0,0
 96-106,0.89,1.73,0.75,1.86,0,0.59,8.05,1.15,1.05,3.97,0,0.69,1.05,0,4.33,1.79
108-118,1.88,3.67,0,2.46,0,0.65,5.9,0,0,1.96,0.59,0,0,0,0,0
120,6.25,0,0,7.74,6.94,1.02,3.95,0,0,8.86,0,0,0,0,0,0
