stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,305.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,145.96,11.77,0,0,0,168.05,0,0,0,0,0,34.82,0,0,0,0,0,0,0,0,0,0,3191.77,25.38,0,0,100.82,0,0,0,0,0,0,0,0,0,0
 10-12,112.9,16.21,0,0,0,71.08,0,0,0,0,0,14.52,0,0,0,0,0,0,0,0,0,0,3864.68,29.12,0,0,77.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,34.35,3.88,0,0,0,0,0,7.15,12.67,0,0,0,3.08,0,0,0,2.11,2.81,0,2.49,187.15,0,0,0,0,0,0,0,3.32,393.06,0,0,0,0,0
 24-34,0,0,37.88,0.78,0,7.74,0,0,0,7.29,2.16,0,0,0,0,0,0,0,5.72,0,0,1.14,763.82,3.81,4.62,0,0,0,2.18,0,0,942.18,0,0,11.67,0,0
 36-46,0,0,42.99,0,0,9.89,0,6.31,0,3.94,1.3,0,0,2.74,1.55,0,0,1.46,8.46,1.35,0,0.63,1429.56,1.44,4.42,2.67,0,0,12.49,0,0,1945.45,0,0,5.12,0,0
 48-58,0,0,25.8,0,0,75.63,0,0.78,0,39.82,0.38,0,0,3.11,0,0,0,0,18.92,0,0,1.49,1934.21,0,9.25,0.64,0,0.73,2.8,0.37,0.55,1730.01,0,0,3.18,0,0
 60-70,0,0,24.92,0,0,35.81,0,1.88,0,0,0,0,0,0,10.85,0,0,0,26.28,3.34,0,1.01,1826.59,1.68,0,0,0,0,5.94,0,0,1007.25,0,0,0,0,7.46
 72-82,0,0,10.59,0.55,0,91.61,0,5.25,0,16.82,1.97,0,0.87,0,0,0,0.61,0,19.69,0,0.54,0.71,1466.8,0,1.22,0.88,0,0,13.84,0,0,671.62,1.68,0,4.65,0,0
 84-94,0,0,10.74,9.89,0,77.83,1.17,0,0,10.09,0.57,0,0,1.88,0,0,0,0,11.9,0,4.11,0,1120.49,0,0,1.61,0,0,2.91,0.62,1.04,402.4,0,1.58,1.63,1.75,0
 96-106,0,0,13.32,9.92,0,24.49,0.64,2.07,0,8.94,0,0,0,5.84,0,0.76,1.24,0,13.69,0,0,0,966.87,0.98,1.71,1.39,0,0,4.4,0,0,212.73,0,0,0,0,8.59
108-118,0,3.85,4.71,1.94,0,40.56,0,0,1.47,20.56,0,0,0,1.96,0,5.15,0,0.48,14.48,0,2.12,3.4,1265.3,0,0,3.32,0,0,4.93,0,0.43,194.46,1.15,0,0,0,0
120,0,0,36.09,1.53,1.37,30.59,0,0,10.32,32.02,0,0,0,3.53,0,0,0,0,21.58,0,18.37,0,1674.92,0,0,0,0,0,0,0,0,274.41,0,0,0,0,0
