stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,215.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.02,443.43,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.12,14.07,0,0,0,14.73,0,0,0,0,0,177.08,0,0,0,60.81,0,0,0,0,0,0,0
 10-12,0,6.05,0,0,4.74,19.96,0,0,0,0,0,75.29,0,0,0,28.06,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,0,0,0,0,0,0.97,0,47.23,0,0,0,0,0,0,4.41,2.78,9.14,0,0
 24-34,0,0,0,0.72,0,7.73,2.03,0.74,0,2.57,2.01,113.64,0,0.68,2.02,0,0,0,0,0,16.56,0,0
 36-46,0,0,0,0,0,7.85,0,0,0,3.51,0,46.3,0,0,1.23,0,0,7.33,0,0,4.73,0,0
 48-58,0,0,0,2.55,3.22,15.23,1.92,0,0.4,3.17,0,13.86,0,0,0,0,0,2.13,0,0,7.38,0,0.41
 60-70,0,0,0,9.87,0,21.95,0.6,0,0,24.87,0,10.64,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.17,1.26,0,0,3.21,0,13.35,0.82,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.85,0,1.54,0,3.1,0.82,5.32,0,0,0,0,0,0.85,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.74,0.93,1.55,0,0,0,0,0,1.22,0,0,0,0,0.67
108-118,0,0,0,0,0,0.93,1.44,0,1.26,1.55,0.75,4.34,0,0,0,0,2.43,0,0,0,0,0.8,0
120,0,0,0,0,0,2.68,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0
