stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.7,205.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.54,53.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,16.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,7.57,0,0,31.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.68,0,0,0,1.16,0,0,0,0,0.97,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,5.3,5.92,3.44,0,0,0,0,0
 24-34,0,0,0,48.14,0,0,0,9.8,0.8,0,0,3.3,0,0,0,0,1.64,1.26,0,0.78,8.05,0,0,0,0,2.5,0,0.65,0,1.82,0,0,1.1,0,0
 36-46,0,0,0,40.46,1.88,0.73,0,9.8,0,0,0.76,1.73,2.37,0,0,0,2.79,0,0.96,0.93,16.53,0,0,0,0,1.99,0,0,0,7.23,0,0,0.56,0,0
 48-58,0,0,0,30.17,2.71,3.37,0,2.1,0,0,0,7.06,0,0,0,3.2,0,0,0,0,1.76,0.92,0,0,0,2.1,0,6.3,0,0,0,0,0,0,0.48
 60-70,0,0,0,25.88,14.03,7.37,0,12.44,1.34,0,0,13.39,0.62,2.2,0,0,1.49,0.63,8.74,0,5.15,1.47,0,0,0,4.54,0,0.75,0,0.89,0,0,0,0,0
 72-82,0,0,0,22.85,36.52,3.32,0,2.72,0.84,1.55,0,13.76,1.29,0,0,0,1.62,0,2.88,0,23.67,0,0.65,0,0,19.28,0,0.57,0,0,10.01,3.93,4.47,1.33,0
 84-94,0,0,1.01,26.58,61.58,0,0,7.95,0,1.56,0,7.9,3,0,0,0,4.06,0,9.46,0,4.02,0,0,0,0,14.71,1.2,0.62,0,0,8.89,1.15,1.07,8.55,0
 96-106,0,0,0,28.12,23.66,13.65,0,5.64,0,2.02,0,10.09,7.78,0,0,0,7.6,0,0.7,3.85,2.04,0,0,0,0,64.6,2,9.86,0,0,13.73,2.43,2.39,8.97,0
108-118,0,0,0,56.26,43.34,1.92,1.73,13.11,5.19,1.48,0,9.92,1.23,0,0,0,13.4,0.54,5.89,0,6.78,0,0.63,0,0.91,79.94,0.43,3.91,0,4.54,16.69,0,0.93,3.67,0
120,0,0,0,30.58,33.51,25.37,5.69,8.24,0,12.67,0,23.84,1.25,0,11.83,0,8.93,6.93,6.16,0,31.64,0,0,0,0,55.15,0,3,0,0,6.14,0,0,7,0
