stage,axial,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord
 14-21,0,4.65,0,0,0,0,0,0,0,0,0,0,57.05,0,0,0,0,0,2.99
 24-34,0,0.84,0,0,0,0,0,0,0,0.67,0,0,143.66,0.77,0,0,0,0,5.83
 36-46,0,0,0,0.61,0,0.82,0,0,0,0,0,0,164.35,0,0,0,0,0,22.08
 48-58,0.78,0,0,3.96,0,11.91,0,0,0.5,3.48,1.23,1.6,174.67,0,0,1.02,0,0.4,35.72
 60-70,0,0,0,9.81,0.94,0,0,0,0,2.98,0,1.85,220.33,0,0,1.48,0,0,11.38
 72-82,0,0.9,0.52,4,0,1.66,0,0,0,9.29,0,0,172.59,0,0,0,2.26,0,13.87
 84-94,0,0,0,10.82,0,0.64,0,0,0,1.59,0,0,176.37,0,1.05,0,0,0,13.13
 96-106,0,0,1.19,8.56,0,1.72,4.68,0,0,7.27,0,0,149.69,0,0,0,0,0.69,0
108-118,0,1.21,17.84,9.44,0,9.58,0,0,0,2.9,0.62,0,227.12,0,0,0,0,0,4.07
120,0,2.27,4.33,10.05,0,7.89,0,2.7,0,3.25,0,0,199.97,0,0,0,0,8.69,0
