stage,axial,blastomeres,immune,neural,notochord,paraxial_mesoderm,periderm,pronephros,vasculature
  3-4,0,14.68,0,0,0,0,12.39,0,0
  5-6,7.63,6.7,0,0,0,0,0,0,0
  7-9,0,0,0,23.24,0,9.35,0,0,0
 10-12,0,0,0,18.19,8.4,9.47,0,6.1,0
 48-58,0,0,0,0,0,0,0,0,0.5
108-118,0,0,1.52,0,0,0,0,0,0
