stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,36.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0
  5-6,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,10.16,0,0,30.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.33,0,0,0,16.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20.12,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,4.43,0,0.83,0,0,0,0,1.32,3.04,0.83,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,13.97,0.67,0,0,0,0,0,0,0,2.24,0,0,16.72,0,10.12,31.81,0,0.96,15.09,0,0,0,2.02,0.65,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,22.19,12.26,0,0,11.7,0.85,0,0,0,3.87,0,0,33.35,0,22.05,109.99,0,2.2,16.71,0,0,0,12.98,0.88,7.24,0,0,0,0
 48-58,0,0,0,0,9.89,0,0,43.24,5.02,0,1.2,6.18,2.31,1.16,0,0,3.06,11,0,71.89,0,40.52,118.87,0,0.56,25.01,0,0,0,1.95,0,3.53,0,0.43,0,0
 60-70,0,0,0,0,0,0,0,65.01,6.5,0,0,13.37,3.5,0,0,0,3.65,0,0,158.22,0,50.72,47.76,0,0,43.8,0,1.12,0,0.64,0,10.89,1.03,0.58,0,2.67
 72-82,0,0,0,0,3.23,0,0,104.64,12.4,0,7.77,18.71,0,0,0,0,13.52,0,0,235.28,2.15,52.27,37.55,0,0,60.77,0,0,0,4.7,0,11.19,0,0,0,0
 84-94,0,0,0,0,5.26,0,0,428.26,10.33,0,0,9.19,2.32,0,3.04,2.52,4.94,0,0,218.89,0,35.22,25.76,0,0,94.61,0,7.15,1.25,1.49,0,2.76,0,0,0,2.6
 96-106,0,0,0,1.75,7.33,1.29,0,685.98,7.17,0.65,0,25.95,3.52,0.65,0,1.38,15.95,0,0,271.3,0,40.43,50.53,0.57,1.33,98.03,0,4.37,1.2,0.57,0,7.41,0,0.67,1.5,0
108-118,0,0,0.92,0.57,0.86,0,2.74,1062.54,1.82,1.14,3.12,3.48,0,0,0,15.36,11.55,4.55,1.72,311.66,0,47.1,40.9,0,0,126.16,0,3.17,1.68,4.26,0,0,4.73,0,0.89,2.29
120,0,0,0,0,1.09,1.01,0,325.44,6.18,0,0,0,2.09,1.09,0,20.06,0,0,0,297.01,2.47,24.53,31.86,6.07,0,71.06,0,0,0,0,0,0,0,0,6.92,4.69
