stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,mesenchyme,neural,presomitic_mesoderm,somites,spinal_cord
  3-4,0,75,0,0,0,0,0,0,0,0,0
  5-6,8.77,38.8,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.93,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.22,1.99,0
 24-34,0,0,0,0,0,0,0,2.7,0,0,0.59
 36-46,0,0,0,0,0,0,0.78,26.41,0,0,3.36
 48-58,0,0,0,0.37,0,0,4.42,22.67,0,0,0.79
 60-70,0,0,0,11.24,0,1.25,44.66,12.01,0,0,0
 72-82,0,0,0,7.04,0,0,51.45,16.1,0,0,1.01
 84-94,0,0,1.92,15.04,0,0,87.08,4.7,0,0,0
 96-106,0,0,0,10.14,0,0,31.38,9.97,0,0,0
108-118,0,0,0,1.43,0.44,0,39.98,12.71,0,0,0
120,0,0,0,31.21,0,0,53.5,30.6,0,0,0
