stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0.87,0.81,0.94,0,0,0,0,0,0,0,0,1.14,0,0,0,2.23,0,0,0,3.48,0.95,0,1.02,0.85,0
 24-34,2.21,0,0.68,0,0,0,0,0,0,0,0,0.75,4.16,0,0,19.75,0.72,0,0,3.45,0,0,1.23,1.51,0
 36-46,0,0,0.62,1.53,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,6.56,0,0,0,0,0
 48-58,0,0,2.41,0,0,0.49,0.96,0,0,0,0.5,1.93,0,0,0,12.78,1.5,0,0,2.87,0,0,2.46,0.58,1.87
 60-70,0.79,0,0,2.09,0.9,0,0,0,0,0,0,1.19,0,0,2.15,14.77,0,0,0,3.83,0,0,0,0,0
 72-82,0,0,7.15,1.59,0.5,0,0,0,0,2.68,0,4.89,1.23,0,0,7.98,0,0,0,2.95,0,0.64,0,1.73,0
 84-94,4.4,0,1.96,2.31,0,0,13.12,0,0,0,0,1.44,0,2.32,0,14.47,0,1.85,0,13.16,0,0,0,2.39,3.39
 96-106,3.73,10.43,1.68,0,1.32,0,4.09,0,0,1.11,0.69,9.9,0,0,0,11.32,0,0,0,16.56,0,0.89,0,1.47,0
108-118,1.13,0.5,9.36,1.27,5.29,6.07,2.56,2.02,0.63,0,2.16,0,0,0,0,15.62,0,0,3.19,5.35,0,0,0,0,0
120,1.57,0,0,1.05,0,1.26,1.5,0,0,0,0,0,0,0,0,1.4,0,0,0,13.7,0,0,0,0,0
