stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.65,155.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.95,201.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.2,5.55,0,0,32.08,0,5.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.03,0,0,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.78,0,0,0,56.19,0,0,0,14.85,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,11.18,2.94,10.06,0,0,2.33,2.26,0,0,0,0,0,0,6.13,15.6,0,9.79,122.62,5.04,0,5.94,1.81,0,0,23.13,0.81,1.99,22.78,55.09,0,0,1.01,0
 24-34,0,0,0,0,4.81,0.62,20.7,0,1.31,3.75,0,0,0,0,0.63,1.21,0,13.43,26.56,0,14.46,272.68,0.6,0,1.23,0,0,0,0,0.94,0,2.53,37.23,0,0,6.99,4.36
 36-46,0,0,0,0,8.13,0,24.47,0,12.71,26.26,0,0,0,0,0,0,0,5.59,17.32,9.14,8.76,195.28,0.71,0,5.73,0,8.3,0,8.18,0,0,0,45.46,0,0,3.27,5.23
 48-58,0,0,0,0,5.46,0,62.89,0.54,4.08,15.65,0,0,0,0,0,0,6.39,1.52,30.39,0.95,15.71,240.63,1.2,0,0.69,0,0,0,0,0,0,0,51.73,0,0,1.75,1.77
 60-70,0,0,0,0,4.69,0,103.62,0.99,13.26,18.88,0,5.1,0,0,0,0,0,7.71,35.36,1.84,0.93,213.24,0,0,0,0,0,0,0,2.42,0,0,56.24,0,0,0,1.18
 72-82,0,0,0,0,1.05,0,146.38,5.09,0,24.41,0,0,0,0,3.53,0,0,6.22,54.38,3.69,8.44,125.47,0,0,0,0,0,0,0,0,0,0,23.23,0,0,4.8,7.22
 84-94,0,0,0,0,5.95,0.57,86.93,1.13,6.24,25.48,0,1.14,0,0.8,0,0.66,0,0.78,28.71,1.06,4.21,126,0,0,7.86,0,0.59,0,0,0.56,0,0,6.83,1.37,0,2.87,0
 96-106,0,0,0.95,0,3.61,0,103.5,1.03,2.87,20.61,0,0,0.91,0.64,1.47,2.46,0,0,22.73,1.16,8.05,79.24,0,0,0,0,1.58,0,0,0.89,0,0,6.22,0,0,0,0.79
108-118,0,0,0,0,5.94,0,45.68,1.08,3.16,31.82,0,0,1.31,0,0,0,0,5.03,31.89,1.62,2.79,133.36,0,1.05,0,0,0.48,0,0,0,0,0,6.36,0,4.53,2.94,1.86
120,0,0,0,0,7.92,1.56,27.94,0,10.57,14.14,0,0,0,0,0,1.74,0,0,34.92,0,1.96,75.38,0,0,1.28,0,1.08,0,0,1.75,0,0,0,0,0,4.84,0
