stage,fast_muscle,gut,immune,iridophores,liver,muscle,somites
 14-21,0,0,0,0,0,0,0.82
 36-46,0,0,1.14,0,0,0,0
 48-58,0,0,7.38,0,0,0,0
 60-70,1.33,0,0,0,0,0,0
 72-82,0.74,0.99,0.52,0,0,0,0
 84-94,0,0,4.09,0.62,0,0.65,0
 96-106,0,3.28,5.82,0,4.97,0,0
108-118,0,0,1.85,0,0,0.54,0
120,0,0,12.21,0,0,0,0
