stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.91,0,0,0,0,0,0,3.17,6.28,1.13,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,1.42,0,2.25,0,0,4.52,7.2,13.26,0.75,0,0,0,0,0,0,5.36,3.78,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,25.97,0,1.24,8.48,9.4,16.56,0.75,0,0,0,0,0,0,0.75,1.19,0,0.61,0,0
 48-58,0,4.07,0,0,1.73,0,0,0,0,0,1.28,0,0,0,0.37,0,50.46,0.47,1.11,4.77,10.77,20.61,0,0,0,0.79,0,0,0,0,3.15,0,2.18,0,0
 60-70,0,2.6,0,0,3.04,0,0,0,0,0,3.72,0,0,0,2.14,0,166.06,0,1.67,3.25,6.31,73.59,0,1.17,0,0,0,0,0,0,0.91,3.8,0,0,0
 72-82,0,2.25,0.55,0,25.73,0,0,0,2.5,0.63,2.33,0,0,0,0,0,536.8,0,9.22,5.06,48.62,110.36,0,3.37,0,8.67,0.55,0,0,0,0,22.92,43.9,1.42,0
 84-94,0,7.27,0,0,28.4,1.66,0,0,7.98,2.25,2.41,0,5.28,0.73,0,0,440.78,0,34.94,1.23,35.7,170.05,0.81,2.78,0,0,0,2.8,0,0,2.57,24.09,30.09,2.16,0
 96-106,0,3.49,0,0,21.07,2.98,0,4.91,10.29,0,5.42,1.52,1.5,0,0,0,625.88,0,20.9,19.97,58.16,103.06,2.02,3.3,0,0,4.78,0.71,0,0,0,28.56,73.98,7.95,0
108-118,0,5.54,0,1.81,14.49,0.94,1,5.1,19.62,0.78,8.88,0,11.6,0,0,1.07,786.21,0,30.52,5.72,104.88,129.78,0,14.04,0,0.86,0,0,0,0,0,59.42,224.03,11.51,2.03
120,1.12,14.05,0,0,19.83,0,0,5.02,2.59,0,0,0,3.86,0,0,0,1076.18,0,0,7.95,123.24,180.15,0,6.19,0,0,0,0,0,0,0,46.6,152.71,38.49,0
