stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,28.68,194.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,70.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,5.66,0,0,0,0,0,0,0,0,0,73.86,0,0,23.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.45,0,0,0,4.71,0,0,0,0,0,78.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,13.27,0,0,0.95,0,0.91,1.11,1,0,0
 24-34,0,0,0,2.94,0,1.46,0,0.65,0,0,0,0,0,5.58,1.61,54.74,0,0,0,0,0,0,10.55,0,2.55
 36-46,0,0,0,0,0,2.22,0,1.19,0,0,0,0,0,0,0,38.87,0,0.61,0,0,0,0,3.97,0,0
 48-58,0,0,0,0.41,0,11.21,0,0.41,0.51,0,0,0,0,2.25,0,31.16,0,6.46,0,2.39,0,0,2.77,0,0
 60-70,0,0,0,0,0,13.92,0,9.67,0,0,0,0,1.32,2.43,0,34.9,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.87,0,0.69,0,0,0,0.73,0,3.13,0,4.06,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.98,0.9,4.44,0,0,0.62,0,0,1.59,2.06,7.89,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,2.77,10.33,0.57,0,0,0,0,10.79,0,0,0,6.15,0,0,0,5.08,0,0,0,0.57,0
108-118,0,0,0,0,0,4,0,1.06,0,0,0,0,0,2.26,0,4.61,2.16,0,0,0,0,0,0,1.8,0
120,0,0,0,6.2,0,10.61,0,1.79,0,0,0,0,0,6.36,0,46.66,0,0,0,2.17,0,0,0,1.61,0
