stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,85.82,1407.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.37,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.51,973.63,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,37.38,0,0,0,0,0,33.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,36.2,0,0,77.99,0,0,0,0,0,31.38,0,0,0,0,0,0,0,0,0,0,0,498.28,14.69,0,0,159.99,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.29,0,33.79,0,0,70.16,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,684.95,62.34,0,0,265.18,0,0,5.47,0,18.22,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,5.34,51.32,3.83,10.4,0,0,0,6.21,2.43,0,1.9,0,0,0,0.93,4.33,0.88,27.9,0,0,27.17,170.87,10.31,0,1.84,4.31,0,7.24,0,24.99,6.01,2.03,70.51,43.8,0,0,4.99,0,0
 24-34,0,0,0.81,5.01,25.15,0.83,42.35,0,2.04,1.37,17.43,2.23,0,2.3,4.79,1.6,0.66,0,1.71,1.09,61.16,1.59,0,26.02,307.27,8.6,1.58,0.64,0,0,10.57,0,0,10.79,0.6,10.54,81.75,0,0,13.15,0,9.1
 36-46,0,0,0,0.96,8.72,0,47.53,0,0,0,27.51,1.99,0,1.74,4.01,0,0,0,0,4.85,75.81,0,0.71,12.65,259.76,1.67,8.91,2.28,0,0,29.15,0,0,2.92,0,0,91.17,0,0,8.36,0,0
 48-58,0,1.29,0,0,19.23,0,64.35,1.02,1.95,0.92,47.28,2.18,0,5.62,5.03,0,0,1.11,0,1.76,83.12,0,0.76,19.68,171.26,2.26,1.4,0.59,0,0,6.46,0,0,7.43,2.93,0,67.4,0,0,11.15,0,1.9
 60-70,0,0,0.95,0,1.19,0,76.77,0.93,1.03,3.19,52.85,6.56,0,1.17,6.73,0,2.66,0.82,3.58,4.38,81.24,0,0,12.76,136.87,0.63,3.69,2.4,0,0,5.8,0,0,7.61,0,0,36.23,0,2.8,13.25,1.34,0.99
 72-82,0,0,2.97,0,11.58,0,152.37,1.33,3.36,5.29,77.55,9.13,0,2.84,5.94,2.3,0.9,3.31,1.08,0,142.97,0,4.82,10.26,173.66,0,1.63,4.63,0,0,8.37,0,0,3.27,0,0,42.77,1.33,5.75,15.7,3.41,0
 84-94,0,0,4.58,0,25.93,0,92.21,0,7.34,2.85,76.07,15.24,0,0.7,10.1,3.43,1.51,0,1.85,2.91,114.58,2.28,4.87,9.73,108.18,1.33,4.82,2.85,0,0,31.1,0,0,8.71,0,0,40.5,0,3.24,28.06,11.45,8.76
 96-106,0,0,1.77,0,20.31,6.36,177.47,2.97,3.06,4.42,53.73,13.88,0,3.37,5.52,4.31,0.73,0.75,0.57,0.71,110.03,0,2.98,4.94,142.83,2.8,8.45,5.22,0,1.57,14.04,0,0,4.99,0,0,18.31,0,7.85,28.05,6.29,5.34
108-118,0,0,0.76,0,13.96,4.5,91.12,0,2.04,5.15,75.08,6.15,0,1.43,6.52,2.71,12.47,0,5.69,6.4,133.07,0,8.41,10.21,149.44,1.21,8.34,8,0,6.16,11.67,0,0,5.67,0.93,0,2.79,0,5.68,14.69,4.55,0.82
120,0,0,0,0,35.74,1.46,79.55,0,6.04,0,80.37,18.08,0,0,7.13,0,0,0,6.26,0,110.54,0,0,7.16,195.68,8.86,14.85,7.36,0,0,8.16,0,0,3.01,0,0,5.11,0,2.41,48.44,14.02,1.64
