stage,blastomeres,epidermis,eye,hatching_gland,mesenchyme,neural,notochord,visceral_smooth_muscle
  5-6,49.36,0,0,0,0,0,0,0
  7-9,0,0,0,3.3,0,0,0,0
 36-46,0,0,1.03,0,0,0,0,0
 48-58,0,0,0.46,0,0,0.6,0,0
 60-70,0,0,0,0,0,2.68,0.58,0
 72-82,0,0,2.22,0,2.22,1.29,0,0.52
 96-106,0,1.09,0,0,0,5.45,0,0
120,0,1.53,0,0,0,0,0,0
