stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,hatching_gland,heart,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,35.72,703.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37.15,0,0,0,0
  5-6,50.91,504.19,0,0,0,0,0,0,0,0,0,0,7.38,0,0,7.83,0,0,0,0
  7-9,26.04,0,25.55,0,0,51.58,0,26.2,0,0,0,0,392.18,30.67,168.02,0,0,0,0,0
 10-12,0,3.34,17.7,0,0,21.12,0,0,0,0,0,0,108.5,16.46,67.6,0,0,6.1,0,0
 14-21,0,0,0,2.67,5.65,0.93,0,0.98,0.97,0,2.05,2.78,16.06,0,0,0,4.99,0,2.89,3.01
 24-34,0,0,0,1.82,0,0,0,0,1.94,0,4.73,0,11.95,0,0,5.22,0,0,0,1.38
 36-46,0,0,0,0,0,1.44,0,0,0,0,2.32,0,2.45,0,0,5.27,0,0,0,0
 48-58,0,0,0,0.54,0,0,0,0,0,0.74,0,0,1.55,0,0,2.33,0,0,0,0.41
 60-70,0,0,0,0,0,0,1.86,0,0,0,0,0,0.79,0,0,0,0,0,0,2.6
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81
 84-94,0,0,0,0.74,0,0.98,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,1.07,0,0,0,0
