stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,10.41,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,48.02,72.65,0,0,726.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.89,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,173.5,117.49,0,0,1265.49,0,0,0,11.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,1995.43,13.96,0,4.13,0,0,0,1.08,0,1.84,0,0,5.14,0,0,0,0,7.87,5.58,0,7.36,68.01,90.31,4.63,0,90.72,0,3.89,1111.94,0,0,229.01,9.98,0,0,0,0,0
 24-34,0,0,0,135.41,2.05,0,73.78,1.59,0,0,0,0,0,1.77,0,0.73,0,4.36,0,0,6.04,0,0,20.88,172.33,9.29,3.03,0.67,0,0,4.87,0,0,0,100.85,22.35,0,0,8.09,0,8.46
 36-46,0,0.85,0,110.56,0,0,92.15,0.77,0.6,0,6.52,0,0,0.9,0,0,3.76,51.91,0,0,5.01,0,0,0.56,341.42,0,0.56,0,0,0,13.14,0,0,0,0.91,93.65,0,0,100.37,0,2.54
 48-58,0,0,0,46.08,0,0,72.04,0,0,6.82,0.88,2.93,0,0,0,0,1.68,11.87,0,0,8.33,0,0,2.48,411.1,0,0,0.73,0,0,10.66,0,0,0,0,69.69,0,0,140.01,0,7.56
 60-70,0,0,0,114.19,0,0,149.76,0.85,3.14,0,8.07,1.22,0,0,0,6.74,0,27.93,0,0,53.67,0,0,6.69,562.61,0,0,0,0,0,37.82,0,0,1.48,0,69.1,0,1.6,147.4,0,0
 72-82,0,0,0,86.96,3.42,0,129.06,2,0,0.68,7.29,0.73,0,0,12.41,3.48,0,39.64,0,0,51.16,0,0,13.39,707.39,0,0,1.64,0,0,21.25,0,0,0,0,82.18,1.5,8.34,257.98,0,0
 84-94,0,0,0,158.82,4.43,0,73.3,0,8.97,0,5.05,11.21,0,1.78,3.18,12.72,0,42.04,1.1,0,26.58,2.46,3.09,12.49,388.46,0,2.46,0,0,1.49,182.65,0,0,0,0,23.92,0,10.14,72.76,1.33,0
 96-106,0,0,0,235.97,15.56,0,61.49,2.13,2.54,2.48,8.47,6.88,0,4.81,64.89,15.43,0,16.57,3.09,2.07,56.36,3.42,2.18,1.03,347.98,1.73,0,0,0,0,139.47,0,0,0,0,20.22,0,0,105.54,5.93,1.44
108-118,0,0.84,0,111.38,1.53,0,49.59,1.28,0.49,4.53,18.24,15,0,3.11,114.91,22.86,0,27.12,7.37,2.92,45.74,1.25,0,20.14,471.08,0,0,0,0,4.24,50.42,0,0,0,0,1.8,0,0,98.92,5.99,0.57
120,0,0,0,74.83,0,1.6,109.25,0,3.88,5.27,6.9,4.74,0,0,125.74,0,0,4.79,0,0,47.45,1.29,0,14.66,400.6,0,1.29,0,0,7.04,12.68,0,0,0,0,2.02,0,0,151.65,0,0
