stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.93,0,0,3.3,0,0,0,0,0,0
 14-21,0,1.35,0,0,0,0,0,0,0,0,0,13.65,0.98,0,0,0,3.9,0,3.38,1.95,0
 24-34,0,0,0,0,0,0,0,0,0,4.04,0,12.65,0,0,0,0,0,0,1.25,3.82,0
 36-46,0,1.75,0,0,0,0,0,0,0,0.78,0,26.52,1.45,0,0,11.04,0,0,0,9.27,0
 48-58,0,2.04,0.87,0.38,0,0.66,0,0.61,0.77,0,0.38,27.01,0,0,0,1.86,0,0,0,11.76,0
 60-70,0,2.27,2.74,0,0,0,0,0,0,1.47,0,24.63,0,0,0,3.47,0,2.41,0,17.82,0
 72-82,0,0.88,5.55,0.69,0.89,0.79,0,0,0,0.79,0,29.88,0,0,0,0,0,0,0,1.38,0
 84-94,1.04,3.02,0.62,0,0,0,1.45,0,0,0,1.23,26.06,0,0,0,0,0,0,0,2.52,0
 96-106,0,0,6.98,0.64,0,0,0,0,0,2.69,0,9.11,0.93,0.71,0,0,0,0,0,1.89,0
108-118,0,3.66,0,0.72,0,0.66,1.49,0,0,1,0,20.2,0,0,0,0,0,0,0,0,0.68
120,0,0,0,0,0,2.03,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0,0
