stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,24.87,0,0,0,0,0,0,0,0,0,0
 10-12,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.56,4.42,0,0,29.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,3.13,0,2.03,0,0,2.79,0,0,0,0,0,0,0,0,0,0.91,59.35,0,3.34,0,0,0,0,0,6.05,29.64,0,0,0,0,0
 24-34,0,0,1.28,0,8.49,0,0,2.58,0,0,0,0,0,0,1.1,0,0,3.66,373.41,0,4.01,0,0,0,0,0,0,57.81,0,0,0,0,0
 36-46,0,0,1.7,0,69.7,0,0,2.41,0,0,0,0,0,0,8.57,0,0.95,2.73,1096.8,0,6.92,0.7,0,0,0,0,0,158.78,0,0,0,0,0
 48-58,0,0,5.19,0,252.19,0,0.44,17.97,0,0,0,3.3,0,0,13.64,0,0,6.39,1810.04,10.26,4.39,1.93,0,2.62,0,0.9,0,263.89,0,0,0,0,4.98
 60-70,0,0,3.93,9.83,566.31,0,0,18.53,3.45,0,0,9.3,0,0,6.02,0,0.7,0.85,2096.99,0,1.51,6.8,0,1.97,0,0,0,270.21,0,0,3.81,0,1.96
 72-82,0,0,10.31,1.75,615.96,0.7,2.79,42.98,0.56,0,0,0.9,0.59,0,30.99,0.77,0,0,2038.25,0,5.1,1.9,0,0,6.57,0,0,199.47,0,0,2.29,0,0
 84-94,0,0,5.84,0,498.71,0,0,14.73,0,2.41,0.75,0.7,1.63,1.15,14.24,0,1.73,2.52,1360.37,0,2.63,2.77,0,2.9,0,0,0,218.86,0.9,2.1,2.44,0,0
 96-106,0,0,0.65,5.83,416.84,0.57,0,23.88,0,0,1.29,2.23,0.9,0,26.52,0,0.78,5.46,1010.71,0,0,1.86,0,9.31,0,0,0,33.88,1.88,0,0,0,0
108-118,0,0,7.44,0.6,343.71,0.56,0,20.56,1.56,0,0,0,0,0.7,12.51,0,0.63,0,1146.24,0,6.03,0.78,0,2.86,0.43,0,0,45.15,0,0.41,1.13,0,8.69
120,0,0,12.05,0,418.5,1.11,0,15.34,0,0,2.3,0,0,0,25.58,0,2.35,4.85,1691.13,0,1.29,0,0,0,0,0,0,30.56,0,0,0,1.93,0
