stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,85.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.97,148.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.77,0,0,0,32.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,39.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.94,0,0,0,15.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,6.64,0,1.8,0,0,29.41,2.66,0,0,0,0,0,0.95,0,1.13,13.2,0,0,0,0,0
 24-34,0,0,0,0,0,0,7.28,0,6.85,0,0,0,0,0,0,0,0,6.38,0,2.57,383.56,6.33,5.99,2.69,0,0,0,0,0,0.63,110.23,0,0,0,0,0
 36-46,0,0,0,0,0,0,26.86,4.85,20.18,0,0,0,0,0,0,0,1.98,6.1,0,0.62,1058.5,9.5,14.44,0,0,0,0,0,0,0,237.44,0,0,0,0,0
 48-58,0,0,0,0,0,0,101.73,0.42,42.51,0,1.53,0,0,0,0,0,1.66,21.7,0,0.95,1197.87,3.01,4.34,1.74,0,0,0,0,0,0,215.77,0,0,0.43,0,12.4
 60-70,0,0,0.57,0,0,0,430.39,0.84,32.62,0.62,0.93,0,0,7.43,0,0,0,37.37,0.89,1.24,1502.2,2.54,6.23,0,0,0,10.81,0,0,0,302.71,0,1.06,0,0.64,18.22
 72-82,0,0,0.56,0,11.12,0.77,406.66,0.89,64.16,0,0.58,0,0,0,0.72,0,0,71.9,1.2,7.77,1324.95,3.48,4.65,14.16,0,3.01,2.45,0,0,0,184.36,0.82,0,6.39,0,9.46
 84-94,0,0,0,0,8.19,0,271.05,2.88,37.3,0,0,1.61,0,0,3.44,0,0,49.43,5.88,2.63,805.98,1.32,10.3,11.44,0,3.31,5,0,0,0,150.62,0,0,0,1.74,0
 96-106,0,0,0,0,5.64,0,226.99,8.83,49.5,0,0.91,4.15,0,0.81,2.6,0,0,54.33,0,1.97,690.76,1.48,8.76,15.15,0,0,1.44,0,0,0,46.06,0,0.92,0.81,1.5,0
108-118,0,0,1.26,0,12.83,0,235.34,0,36.88,0.5,0.52,3.73,0.72,0.48,6,0,1.8,64.47,2.76,3.06,845.52,5.4,6.78,13.7,0,0,1.09,0,0.46,0,39.21,0,0,0,0.65,0
120,0,0,2.52,0,1.69,0,283.75,0,33.71,0,0,3.82,2.21,0,11.75,0,0,48.57,8.17,0,1059.48,0,0,33.31,0,0,0,0,0,0,42.1,0,0,5.18,3.36,14.25
