stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,13.79,0,0,0,0,0,0,0
 10-12,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0,85.93,0,0,0,40.64,0,0,0,0,0,0,0
 14-21,4.7,2.79,0,7.86,0,0,1.01,0,0,0,0,0,5.08,0,1.02,48.25,0,0,0,1.92,0,4.61,5.1,0.83,15.15,0,0
 24-34,3.11,1.3,0,29.49,0,0,0,0,0,0,0.64,0,23.17,0,5.15,114.98,1.09,0,0.63,0,0,7.08,0,0,32.27,0,0
 36-46,1.33,0,0,11.15,0,0,2.95,0,0,0,0,0,10.1,0,9.91,71.09,1.09,0.61,0.59,0,0,0,0,0,4.27,5.32,0
 48-58,2.6,0,0,37.65,0.8,0.41,3.15,0,0,0,0,0,13.35,0,1.41,33.34,0,0,0.57,0,0,1.19,0,0,4.06,0,0
 60-70,0.57,0,0,7.16,0,0,0,0,0,0,0,0,17.94,1.71,0,30.07,0,0,0,0,0,0,0,0,1.05,0,0
 72-82,6.83,0,0,4.19,0,0,5.47,0,0,0,0,0,8.7,0,0.7,21.46,0,0,1.4,0,0,0,0,0,0,0,0
 84-94,1.42,0,0,4.3,0,0,1.06,0,0.7,0.76,0,1.81,10.75,0,2.68,12.37,0,0,3.61,0,0,0,0,0,4.07,0.6,2.72
 96-106,4.33,0,0,9.33,0,0,6.49,0,0,0,0,0,5.76,0.94,2.82,10.36,0,0,2.7,0,2.14,0,0,0,0,3.49,0
108-118,0,0.59,0.64,13.58,0,0,1.23,0.55,0,0,0,0,10.16,0,0.97,9.89,0,0,0,0,0,0,0,0,0,1.79,1.03
120,0,0,1.71,11.22,0,4.69,13.08,0,3.24,0,1.62,4.54,20.79,0,7.53,72.54,0,0,2.44,0,4.59,0,0,0,0,0,0
