stage,epidermis,eye,glial,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,6.4,0,0,1.44,1.44,0
 24-34,0.59,1.7,0,3.73,0,0,0.67,22.79,0,1.02,0,1.77,0
 36-46,0,2.72,0,0,0,0,0,29.42,0,2.03,0,1.4,1.7
 48-58,0,6.28,2.68,0,0.87,0,0,15.33,0,0,0,0.52,0
 60-70,5.58,12.71,0,0,0,0,0,2.95,1.08,0,0,0,0
 72-82,0.99,3.15,0,0,1.56,0,0,4.01,0,0,0,0,0.72
 84-94,0,0,0,0,0,0.85,0,1.18,0,0,0,0,0
 96-106,0,6.35,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,6.07,0,0,4.75,0,0,0,0,0
120,0,1.62,0,0,0,0,0,15.11,0,0,0,0,0
