stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,37.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,5.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,10.34,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.9,4.53,0,0,0,4.46,0.87,0,2.55,5.94,0,0,0
 24-34,0,0,0,3.26,0,0,2.8,0,1.71,0,0.69,0,1.75,1.02,0.63,0,0,0.66,3.43,0,1.75,20.54,0,0.71,0,5.59,0,0,0,3.22,0,0,0
 36-46,0,0,0,2.36,0,0,3.09,0,0,0,1.8,0,0,0,0,0,0,0,0.68,0,1.23,25.5,1.12,0,0,57.41,0,0,0,6.81,0,0,2.92
 48-58,0,0,0,2.95,0,0,5.81,0,0,0,12.65,0,0,4.5,0,0,0,0,4.03,0,0,54.99,0.38,0,0,30.83,0,0,0,7.2,0,0,0
 60-70,0,0,0,2.36,0,0,14.6,0.74,0.68,0,2.29,1.91,0,0,0,0,0,0,6.19,0,1.14,58.2,1.98,1.26,0,13.62,0,0,0,8.93,0,0,0
 72-82,0,0.83,0,3.76,0.77,0,26.9,0,0.5,0,3.79,2.51,1.08,2.25,0,0,0.64,0,5.54,0,1.09,65.21,0,0,0,12.26,0,0,0,3.69,0,0,0
 84-94,0,1.23,0,5.94,0,1.52,6.43,0,1.64,0,0,0,0,15.14,1.48,0,0,0,11.25,0.89,0,15.05,0.8,0,0,40.02,0,0,0,0,0,0.77,0
 96-106,0,0,0,7.12,0,0,10.52,0,0,0,5.01,0.66,0,14.3,1.43,0,0,0,7.92,2.88,0,35.23,3.54,0,0,59.59,0,0,0,1.63,0.61,0,0
108-118,0,0,0,7.49,0.57,0,18.39,0,1.4,0.6,2.49,1.93,0,20.62,1.57,0,0,0,4.07,0,0,22.69,1.1,0,0,39.79,0,0.48,0,3.76,0,0.68,0.59
120,0,0,0,24.14,0,5.29,27.36,0,1.22,2.59,15.27,6.87,0,12.76,0,3.65,1.84,0,0,2.57,0,83.07,0,0,0,49.8,0,0,0,0,0,0,0
