stage,blastomeres,epidermis,eye,fin_epithelia,neural,periderm
  5-6,7.86,0,0,0,0,0
  7-9,0,0,0,0,3.5,0
 10-12,0,0,0,0,4.65,0
 24-34,0,0,0,0,2.1,0
 48-58,0,2.71,0.47,0,0.77,0
 72-82,0,0,0,0,4.05,0
 84-94,0,0,0,1.77,0,0
 96-106,0,0.61,0,0,2.7,1.91
108-118,0,2.25,0,0,0,0
