stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.8,0,0,0,0,0,0,0,0,0,0,0,33.67,0,0,14.7,0,0,12.9,0,0,0,0
 14-21,0,0,29.22,0,0,0,0,0,0,12.97,0.83,0,15.06,9.22,0,0,0,0,0,0,2.15,0,0,0
 24-34,0,0,8.87,5.21,0,0,0.72,0,0,18.1,0,0,3.16,11.3,0,0,0,0,0.78,0,9.59,0,2.01,0
 36-46,0,0,3.47,1.4,0.69,0,4.89,0,0,19.6,0,0.92,0.82,2.94,0.68,0,0,0,0,0,5.88,0,0,0
 48-58,0,0,6.9,1.08,0,0.67,3.01,0,0,28.1,0,0,0.64,3.69,0,0.42,0,0,0.38,0,2.65,0,0.67,0
 60-70,0,0,0,2.72,0,0,1.85,0,0,21.67,0,0,1.22,15.01,0,0,0,0,0,0,4.17,0.94,0,0
 72-82,0,0,0,0,0,0,3.46,0,0,12.34,0,1.31,0,8.56,0,0,0,2.32,0,0,0,0.53,0,0
 84-94,0,0,1.5,3,0.74,2.23,7.73,0,0,7.69,0,0,1.42,4.14,0,0,0,0,0,0,1.33,2.1,0,0.87
 96-106,0,0,0,2.47,0,0,1.99,0,0,14.81,0,1.53,0,7.72,0.62,0.85,0,0,0,0,1.91,0,0,0.64
108-118,0,0,1.42,2.3,0,3.75,6.8,2.94,0,13.54,0,0,0,11.56,0,0,0,1.95,0,0,0,0,0,6.71
120,0,0,0,9.27,0,0,7.27,2.05,3.79,1.63,0,0,0,0,0,0,0,0,4.41,0,18.53,0,0,0
