stage,axial,blastomeres,eye,hatching_gland,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,41.79,155.51,0,0,0,0,0,0,0,16.93,0,0
  5-6,0,226.44,0,0,0,0,0,7.43,8.05,0,0,0
  7-9,3.57,0,11.3,0,0,0,0,101.68,28.17,0,0,0
 10-12,0,0,0,7.83,0,0,0,51.59,17.55,0,0,0
 14-21,0,0,0,0,0,1.11,0,0,0,0.86,0.8,0
 24-34,0,0,0,0,0,0,0,2.52,0,0.83,0,0
 36-46,0,0,0,0,0,0,0,3.08,0,0.59,0,0
 48-58,0,0,0.41,0,0,0.62,0,1.28,0,0,0,0.38
 60-70,0,0,2.61,0,0,0,1.19,1.3,0,0,0,0
 72-82,0,0,1.98,0,0,0,0,1.01,0,0,0,0
 84-94,0,0,0,0,0,0.81,0,1.61,0,0.72,0,0
 96-106,0,0,0,0,0,0,0,5.49,0,0,0,0
120,0,0,0,0,2.66,0,0,0,0,0,0,0
