stage,eye,glial,gut,mesenchyme,neural,spinal_cord
 14-21,0,0,0,0,1.21,0
 24-34,0,0,0,0,0.62,0
 36-46,0,0.97,0,0.67,2.25,0
 48-58,3.81,0,0,0,1.83,0.83
 60-70,0,0,0,0,2.05,0
 72-82,0,0,0,0,3.75,0
 96-106,0,0,1.11,0,0,0
108-118,0,0,0,2.28,0.73,0
